time,+/Nck/!SD/nckServoDataActCurr32 [u1; 1],+/Nck/!SD/nckServoDataActCurr32 [u1; 2],+/Nck/!SD/nckServoDataActCurr32 [u1; 4],+/Nck/!SD/nckServoDataActPos1stEnc32 [u1; 2],+/Nck/!SD/nckServoDataActPos1stEnc32 [u1; 3],+/Nck/!SD/nckServoDataActPos1stEnc32 [u1; 4],+/Channel/!RP/rpa [u1; 15],+/Nck/!SD/nckServoDataActCurr32 [u1; 3],+/Nck/!SD/nckServoDataActPos1stEnc32 [u1; 1]
0.104000,0.160220,0.389650,1.527830,205.193250,-334.871830,2826604.500000,1.000000,3.264590,-459.501800
0.106000,0.158940,0.420410,1.784180,205.223980,-334.871830,2826630.000000,,3.265870,
0.108000,0.157650,0.452450,1.948240,205.254710,-334.871830,2826655.250000,,3.265870,
0.110000,0.156370,0.480650,1.948240,205.285510,-334.871830,2826680.500000,,3.267150,
0.112000,0.155090,0.501160,1.989260,205.316380,-334.871830,2826706.000000,1.000000,3.267150,-459.501800
0.114000,0.153810,0.520390,1.538090,205.347310,-334.871830,2826731.000000,,3.268430,
0.116000,0.153810,0.538330,1.763670,205.378340,-334.871830,2826756.500000,,3.271000,
0.118000,0.151250,0.557560,1.538090,205.409440,-334.871830,2826781.750000,,3.271000,
0.120000,0.151250,0.565250,1.589360,205.440670,-334.871830,2826807.000000,1.000000,3.273560,-459.501860
0.122000,0.149960,0.572940,2.235350,205.471970,-334.871830,2826832.250000,,3.277400,
0.124000,0.148680,0.578060,2.112300,205.503360,-334.871830,2826857.750000,,3.278690,
0.126000,0.148680,0.593440,2.132810,205.534770,-334.871800,2826882.750000,,3.279970,
0.128000,0.147400,0.625490,1.814940,205.566150,-334.871800,2826908.250000,1.000000,3.285100,-459.501860
0.130000,0.144840,0.683170,1.937990,205.597470,-334.871800,2826933.500000,,3.287660,
0.132000,0.144840,0.735720,1.814940,205.628810,-334.871770,2826958.750000,,3.288940,
0.134000,0.143550,0.769040,2.143070,205.660220,-334.871770,2826984.000000,,3.292790,
0.136000,0.142270,0.794680,2.214840,205.691730,-334.871770,2827009.500000,1.000000,3.295350,-459.501860
0.138000,0.142270,0.795960,1.845700,205.723370,-334.871770,2827034.500000,,3.295350,
0.140000,0.142270,0.785710,1.927730,205.755160,-334.871770,2827060.000000,,3.299190,
0.142000,0.140990,0.772890,1.466310,205.787020,-334.871770,2827085.250000,,3.300480,
0.144000,0.142270,0.769040,1.579100,205.818890,-334.871770,2827110.500000,1.000000,3.303040,-459.501890
0.146000,0.140990,0.778020,1.825200,205.850690,-334.871770,2827135.750000,,3.306880,
0.148000,0.142270,0.784420,1.845700,205.882480,-334.871770,2827161.250000,,3.309450,
0.150000,0.142270,0.778020,1.917480,205.914280,-334.871770,2827186.500000,,3.310730,
0.152000,0.142270,0.758790,1.917480,205.946110,-334.871770,2827211.750000,1.000000,3.315860,-459.501890
0.154000,0.144840,0.744690,1.927730,205.977910,-334.871730,2827237.000000,,3.318420,
0.156000,0.144840,0.739560,1.620120,206.009690,-334.871700,2827262.250000,,3.320980,
0.158000,0.146120,0.716490,1.855960,206.041470,-334.871700,2827287.500000,,3.323550,
0.160000,0.148680,0.685730,1.907230,206.073290,-334.871700,2827313.000000,1.000000,3.326110,-459.501890
0.162000,0.149960,0.648560,1.804690,206.105130,-334.871700,2827338.250000,,3.326110,
0.164000,0.153810,0.603700,1.948240,206.137040,-334.871700,2827363.500000,,3.327390,
0.166000,0.155090,0.558840,1.681640,206.168930,-334.871670,2827388.750000,,3.328670,
0.168000,0.157650,0.517820,1.886720,206.200810,-334.871670,2827414.000000,1.000000,3.329960,-459.501890
0.170000,0.160220,0.493470,1.456050,206.232600,-334.871670,2827439.500000,,3.332520,
0.172000,0.162780,0.472960,1.804690,206.264310,-334.871670,2827464.750000,,3.333800,
0.174000,0.165340,0.447330,1.845700,206.295970,-334.871670,2827490.000000,,3.336360,
0.176000,0.166630,0.425540,1.609860,206.327550,-334.871670,2827515.250000,1.000000,3.337650,-459.501860
0.178000,0.167910,0.421690,1.589360,206.359020,-334.871640,2827540.750000,,3.340210,
0.180000,0.169190,0.440920,1.712400,206.390340,-334.871640,2827566.000000,,3.341490,
0.182000,0.170470,0.476810,2.163570,206.421490,-334.871610,2827591.250000,,3.344060,
0.184000,0.171750,0.517820,1.989260,206.452610,-334.871610,2827616.500000,1.000000,3.344060,-459.501860
0.186000,0.173030,0.529360,2.112300,206.483750,-334.871610,2827641.750000,,3.344060,
0.188000,0.173030,0.524230,1.886720,206.514980,-334.871610,2827667.000000,,3.344060,
0.190000,0.174320,0.506290,1.866210,206.546360,-334.871610,2827692.500000,,3.345340,
0.192000,0.174320,0.480650,1.804690,206.577840,-334.871610,2827717.750000,1.000000,3.345340,-459.501860
0.194000,0.174320,0.471680,1.886720,206.609340,-334.871610,2827743.000000,,3.345340,
0.196000,0.173030,0.493470,2.132810,206.640760,-334.871610,2827768.250000,,3.347900,
0.198000,0.174320,0.519100,1.968750,206.672180,-334.871610,2827793.500000,,3.347900,
0.200000,0.174320,0.535770,2.050780,206.703640,-334.871610,2827818.750000,1.000000,3.349180,-459.501860
0.202000,0.171750,0.548580,1.845700,206.735140,-334.871610,2827844.250000,,3.354310,
0.204000,0.170470,0.561400,1.435550,206.766630,-334.871610,2827869.500000,,3.355590,
0.206000,0.169190,0.579350,1.517580,206.798130,-334.871610,2827894.750000,,3.356870,
0.208000,0.166630,0.615230,1.855960,206.829540,-334.871610,2827920.000000,1.000000,3.360720,-459.501860
0.208000,0.166630,0.615230,1.855960,206.829540,-334.871610,2827920.000000,1.000000,3.360720,-459.501860
0.210000,0.166630,0.654970,2.194340,206.860930,-334.871580,2827945.250000,,3.360720,
0.212000,0.164060,0.689580,2.245610,206.892330,-334.871580,2827970.500000,,3.362000,
0.214000,0.164060,0.724180,2.091800,206.923750,-334.871580,2827996.000000,,3.363280,
0.216000,0.161500,0.726750,1.732910,206.955320,-334.871580,2828021.250000,1.000000,3.364560,-459.501860
0.218000,0.161500,0.712650,1.650880,206.987030,-334.871580,2828046.500000,,3.364560,
0.220000,0.160220,0.697270,1.743160,207.018830,-334.871580,2828071.750000,,3.365840,
0.222000,0.158940,0.683170,1.784180,207.050660,-334.871580,2828097.250000,,3.367130,
0.224000,0.160220,0.658810,2.030270,207.082570,-334.871580,2828122.250000,1.000000,3.369690,-459.501860
0.226000,0.158940,0.619080,1.763670,207.114530,-334.871580,2828147.750000,,3.373540,
0.228000,0.158940,0.588320,1.763670,207.146480,-334.871580,2828173.000000,,3.374820,
0.230000,0.158940,0.589600,1.620120,207.178330,-334.871550,2828198.250000,,3.376100,
0.232000,0.158940,0.606260,1.476560,207.210050,-334.871550,2828223.750000,1.000000,3.379940,-459.501860
0.234000,0.160220,0.638310,1.640630,207.241650,-334.871520,2828249.000000,,3.382510,
0.236000,0.160220,0.666500,2.050780,207.273220,-334.871520,2828274.250000,,3.383790,
0.238000,0.160220,0.670350,2.184080,207.304810,-334.871520,2828299.500000,,3.385070,
0.240000,0.160220,0.658810,2.061040,207.336460,-334.871520,2828324.750000,1.000000,3.385070,-459.501860
0.242000,0.160220,0.635740,1.855960,207.368190,-334.871520,2828350.000000,,3.385070,
0.244000,0.160220,0.602420,1.896970,207.399990,-334.871520,2828375.500000,,3.386350,
0.246000,0.161500,0.592160,1.763670,207.431700,-334.871490,2828400.750000,,3.388920,
0.248000,0.162780,0.601140,2.050780,207.463320,-334.871490,2828426.000000,1.000000,3.388920,-459.501860
0.250000,0.164060,0.602420,2.317380,207.494920,-334.871490,2828451.250000,,3.391480,
0.252000,0.162780,0.574220,1.948240,207.526600,-334.871520,2828476.500000,,3.391480,
0.254000,0.162780,0.547300,1.866210,207.558270,-334.871490,2828501.750000,,3.394040,
0.256000,0.162780,0.520390,1.497070,207.589980,-334.871490,2828527.250000,1.000000,3.395320,-459.501860
0.258000,0.164060,0.496030,1.538090,207.621640,-334.871490,2828552.500000,,3.396610,
0.260000,0.164060,0.480650,1.835450,207.653270,-334.871460,2828577.750000,,3.397890,
0.262000,0.162780,0.484500,1.876460,207.684830,-334.871460,2828603.000000,,3.397890,
0.264000,0.164060,0.493470,2.009770,207.716320,-334.871460,2828628.500000,1.000000,3.399170,-459.501860
0.266000,0.162780,0.493470,2.030270,207.747820,-334.871460,2828653.500000,,3.400450,
0.268000,0.162780,0.479370,1.907230,207.779370,-334.871460,2828679.000000,,3.399170,
0.270000,0.162780,0.467830,1.773930,207.810940,-334.871460,2828704.250000,,3.400450,
0.272000,0.162780,0.466550,1.804690,207.842470,-334.871460,2828729.500000,1.000000,3.400450,-459.501860
0.274000,0.162780,0.470400,1.743160,207.873990,-334.871460,2828754.750000,,3.401730,
0.276000,0.161500,0.479370,2.071290,207.905460,-334.871460,2828780.250000,,3.403020,
0.278000,0.160220,0.481930,2.030270,207.936950,-334.871460,2828805.250000,,3.404300,
0.280000,0.160220,0.492190,1.773930,207.968410,-334.871460,2828830.750000,1.000000,3.406860,-459.501860
0.282000,0.158940,0.520390,1.650880,207.999800,-334.871460,2828856.000000,,3.408140,
0.284000,0.158940,0.561400,1.363770,208.031110,-334.871460,2828881.250000,,3.408140,
0.286000,0.158940,0.588320,1.589360,208.062470,-334.871460,2828906.500000,,3.410710,
0.288000,0.157650,0.619080,1.784180,208.093840,-334.871460,2828932.000000,1.000000,3.409420,-459.501890
0.290000,0.157650,0.628050,1.773930,208.125270,-334.871430,2828957.000000,,3.410710,
0.292000,0.156370,0.615230,1.620120,208.156850,-334.871430,2828982.500000,,3.411990,
0.294000,0.157650,0.603700,1.753420,208.188480,-334.871460,2829007.750000,,3.411990,
0.296000,0.157650,0.608830,1.886720,208.220140,-334.871430,2829033.000000,1.000000,3.413270,-459.501890
0.298000,0.157650,0.630620,1.907230,208.251770,-334.871430,2829058.500000,,3.413270,
0.300000,0.158940,0.647280,1.917480,208.283430,-334.871430,2829083.750000,,3.415830,
0.302000,0.157650,0.640870,1.979000,208.315160,-334.871430,2829109.000000,,3.415830,
0.304000,0.160220,0.626770,1.907230,208.346980,-334.871430,2829134.250000,1.000000,3.417110,-459.501890
0.306000,0.161500,0.613950,1.937990,208.378780,-334.871430,2829159.750000,,3.419680,
0.308000,0.161500,0.612670,1.907230,208.410570,-334.871430,2829184.750000,,3.420960,
0.310000,0.162780,0.615230,1.876460,208.442310,-334.871400,2829210.250000,,3.423520,
