time,+/Nck/!SD/nckServoDataActCurr32 [u1; 1],+/Nck/!SD/nckServoDataActCurr32 [u1; 2],+/Nck/!SD/nckServoDataActCurr32 [u1; 4],+/Nck/!SD/nckServoDataActPos1stEnc32 [u1; 2],+/Nck/!SD/nckServoDataActPos1stEnc32 [u1; 3],+/Nck/!SD/nckServoDataActPos1stEnc32 [u1; 4],+/Channel/!RP/rpa [u1; 15],+/Nck/!SD/nckServoDataActCurr32 [u1; 3],+/Nck/!SD/nckServoDataActPos1stEnc32 [u1; 1]
0.000000,0.193540,-0.102540,1.681640,204.316420,-338.870610,3291099.250000,1.000000,3.151790,-439.502660
0.002000,0.193540,-0.101260,1.599610,204.316440,-338.870700,3291124.500000,,3.142820,
0.004000,0.194820,-0.096130,1.661130,204.316440,-338.870790,3291149.750000,,3.138980,
0.006000,0.194820,-0.096130,1.784180,204.316440,-338.870850,3291175.000000,,3.136410,
0.008000,0.194820,-0.092290,1.825200,204.316440,-338.870940,3291200.250000,1.000000,3.135130,-439.502660
0.010000,0.193540,-0.091000,1.876460,204.316450,-338.871060,3291225.750000,,3.137700,
0.012000,0.193540,-0.089720,1.722660,204.316450,-338.871120,3291251.000000,,3.140260,
0.014000,0.193540,-0.085880,1.743160,204.316450,-338.871250,3291276.250000,,3.145390,
0.016000,0.194820,-0.084590,1.917480,204.316450,-338.871340,3291301.500000,1.000000,3.151790,-439.502660
0.018000,0.194820,-0.056400,1.917480,204.316470,-338.871460,3291326.750000,,3.158200,
0.020000,0.194820,0.311460,1.876460,204.317030,-338.871520,3291352.000000,,3.163330,
0.022000,0.194820,0.339660,1.835450,204.318340,-338.871580,3291377.500000,,3.165890,
0.024000,0.194820,0.356320,1.886720,204.319640,-338.871610,3291402.750000,1.000000,3.164610,-439.502660
0.026000,0.194820,0.449890,1.866210,204.320800,-338.871610,3291428.000000,,3.162050,
0.028000,0.197390,0.561400,1.517580,204.322160,-338.871640,3291453.250000,,3.160770,
0.030000,0.196110,0.653690,1.835450,204.324020,-338.871670,3291478.750000,,3.163330,
0.032000,0.196110,0.739560,1.845700,204.326520,-338.871730,3291503.750000,1.000000,3.169740,-439.502660
0.034000,0.197390,0.847230,1.876460,204.329770,-338.871770,3291529.250000,,3.171020,
0.036000,0.196110,0.983090,1.445800,204.333920,-338.871770,3291554.500000,,3.167180,
0.038000,0.196110,1.135620,1.732910,204.339220,-338.871770,3291579.750000,,3.165890,
0.040000,0.196110,1.281740,1.620120,204.345930,-338.871770,3291605.000000,1.000000,3.164610,-439.502660
0.042000,0.197390,1.409910,2.122560,204.354310,-338.871770,3291630.500000,,3.163330,
0.044000,0.196110,1.527830,2.235350,204.364560,-338.871800,3291655.500000,,3.165890,
0.046000,0.194820,1.620120,2.153320,204.376830,-338.871860,3291681.000000,,3.168460,
0.048000,0.194820,1.680360,1.896970,204.391220,-338.871890,3291706.250000,1.000000,3.174870,-439.502660
0.048000,0.194820,1.680360,1.896970,204.391220,-338.871890,3291706.250000,1.000000,3.174870,-439.502660
0.050000,0.193540,1.714970,1.702150,204.407750,-338.871890,3291731.500000,,3.177430,
0.052000,0.193540,1.722660,1.794430,204.426420,-338.871920,3291757.000000,,3.181270,
0.054000,0.192260,1.702150,1.855960,204.447190,-338.871950,3291782.250000,,3.186400,
0.056000,0.193540,1.650880,1.886720,204.469890,-338.871980,3291807.500000,1.000000,3.188960,-439.502690
0.058000,0.192260,1.580380,1.979000,204.494340,-338.871980,3291832.750000,,3.195370,
0.060000,0.190980,1.497070,1.896970,204.520360,-338.871980,3291858.000000,,3.197940,
0.062000,0.189700,1.400940,1.794430,204.547740,-338.871980,3291883.250000,,3.200500,
0.064000,0.190980,1.286870,1.281740,204.576290,-338.871980,3291908.750000,1.000000,3.203060,-439.502690
0.066000,0.189700,1.177920,1.681640,204.605760,-338.871980,3291934.000000,,3.206910,
0.068000,0.189700,1.090760,1.896970,204.635880,-338.871980,3291959.250000,,3.208190,
0.070000,0.190980,1.025390,2.112300,204.666440,-338.871980,3291984.500000,,3.210750,
0.072000,0.189700,0.963870,2.061040,204.697360,-338.871980,3292010.000000,1.000000,3.215880,-439.502690
0.074000,0.188420,0.903630,2.030270,204.728470,-338.871980,3292035.000000,,3.217160,
0.076000,0.188420,0.861330,1.835450,204.759610,-338.871980,3292060.500000,,3.222290,
0.078000,0.188420,0.831850,1.384280,204.790630,-338.871980,3292085.750000,,3.224850,
0.080000,0.188420,0.815190,1.835450,204.821550,-338.871980,3292111.000000,1.000000,3.228700,-439.502690
0.082000,0.189700,0.806210,2.020020,204.852400,-338.871950,3292136.250000,,3.231260,
0.084000,0.189700,0.789550,1.835450,204.883260,-338.871950,3292161.750000,,3.233830,
0.086000,0.188420,0.744690,1.702150,204.914250,-338.871950,3292186.750000,,3.237670,
0.088000,0.189700,0.689580,1.507320,204.945310,-338.871920,3292212.250000,1.000000,3.237670,-439.502690
0.090000,0.188420,0.615230,1.876460,204.976530,-338.871920,3292237.500000,,3.238950,
0.092000,0.188420,0.533200,1.548340,205.007840,-338.871920,3292262.750000,,3.242800,
0.094000,0.188420,0.470400,1.763670,205.039150,-338.871920,3292288.000000,,3.241520,
0.096000,0.187130,0.433230,1.979000,205.070370,-338.871920,3292313.500000,1.000000,3.242800,-439.502690
0.098000,0.187130,0.403750,2.173830,205.101530,-338.871920,3292338.500000,,3.244080,
0.100000,0.185850,0.376830,1.876460,205.132610,-338.871920,3292364.000000,,3.247920,
0.102000,0.183290,0.366580,1.907230,205.163620,-338.871920,3292389.250000,,3.247920,
0.104000,0.183290,0.381960,2.091800,205.194490,-338.871890,3292414.500000,1.000000,3.249210,-439.502690
0.106000,0.183290,0.407590,1.712400,205.225230,-338.871890,3292439.750000,,3.251770,
0.108000,0.182010,0.431950,2.245610,205.255980,-338.871890,3292465.250000,,3.251770,
0.110000,0.180730,0.455020,2.081540,205.286770,-338.871890,3292490.250000,,3.253050,
0.112000,0.179440,0.475520,1.855960,205.317580,-338.871890,3292515.750000,1.000000,3.253050,-439.502690
0.114000,0.178160,0.496030,1.855960,205.348500,-338.871890,3292541.000000,,3.254330,
0.116000,0.178160,0.517820,1.599610,205.379460,-338.871890,3292566.250000,,3.255620,
0.118000,0.176880,0.538330,1.896970,205.410510,-338.871890,3292591.750000,,3.255620,
0.120000,0.176880,0.544740,1.702150,205.441680,-338.871890,3292617.000000,1.000000,3.258180,-439.502750
0.122000,0.175600,0.551150,1.876460,205.472930,-338.871890,3292642.250000,,3.260740,
0.124000,0.175600,0.557560,1.927730,205.504260,-338.871890,3292667.500000,,3.264590,
0.126000,0.173030,0.575500,1.835450,205.535600,-338.871890,3292693.000000,,3.265870,
0.128000,0.171750,0.616520,1.825200,205.566890,-338.871890,3292718.000000,1.000000,3.271000,-439.502750
0.130000,0.171750,0.679320,1.917480,205.598140,-338.871890,3292743.500000,,3.272280,
0.132000,0.171750,0.735720,1.917480,205.629430,-338.871890,3292768.750000,,3.274840,
0.134000,0.170470,0.778020,1.917480,205.660780,-338.871860,3292794.000000,,3.277400,
0.136000,0.170470,0.802370,1.845700,205.692290,-338.871860,3292819.250000,1.000000,3.278690,-439.502810
