time,+/Nck/!SD/nckServoDataActCurr32 [u1; 1],+/Nck/!SD/nckServoDataActCurr32 [u1; 2],+/Nck/!SD/nckServoDataActCurr32 [u1; 4],+/Nck/!SD/nckServoDataActPos1stEnc32 [u1; 2],+/Nck/!SD/nckServoDataActPos1stEnc32 [u1; 3],+/Nck/!SD/nckServoDataActPos1stEnc32 [u1; 4],+/Channel/!RP/rpa [u1; 15],+/Nck/!SD/nckServoDataActCurr32 [u1; 3],+/Nck/!SD/nckServoDataActPos1stEnc32 [u1; 1]
0.000000,0.189700,-0.099980,1.650880,204.318160,-348.868990,4741793.000000,1.000000,3.158200,-379.503300
0.002000,0.189700,-0.097410,1.845700,204.318180,-348.869140,4741818.500000,,3.153080,
0.004000,0.188420,-0.094850,1.948240,204.318180,-348.869260,4741843.500000,,3.146670,
0.006000,0.189700,-0.093570,1.640630,204.318190,-348.869320,4741868.500000,,3.137700,
0.008000,0.189700,-0.093570,1.825200,204.318210,-348.869380,4741894.000000,1.000000,3.133850,-379.503300
0.010000,0.192260,-0.092290,1.640630,204.318220,-348.869510,4741919.500000,,3.132570,
0.012000,0.190980,-0.092290,1.866210,204.318220,-348.869600,4741944.500000,,3.130000,
0.014000,0.192260,-0.093570,1.722660,204.318240,-348.869690,4741970.000000,,3.133850,
0.016000,0.192260,-0.093570,1.384280,204.318220,-348.869810,4741995.500000,1.000000,3.140260,-379.503300
0.018000,0.192260,-0.070500,1.650880,204.318240,-348.869930,4742020.500000,,3.149230,
0.020000,0.193540,0.298650,1.743160,204.318790,-348.870060,4742045.500000,,3.155640,
0.022000,0.193540,0.308900,2.225100,204.320140,-348.870120,4742071.000000,,3.163330,
0.024000,0.193540,0.312740,2.009770,204.321500,-348.870210,4742096.500000,1.000000,3.164610,-379.503300
0.026000,0.193540,0.396060,2.143070,204.322710,-348.870240,4742122.000000,,3.163330,
0.028000,0.194820,0.505000,1.691890,204.324080,-348.870240,4742147.000000,,3.162050,
0.030000,0.194820,0.592160,1.609860,204.325940,-348.870300,4742172.500000,,3.165890,
0.032000,0.194820,0.676760,1.876460,204.328410,-348.870360,4742197.500000,1.000000,3.174870,-379.503300
0.034000,0.193540,0.801090,1.989260,204.331570,-348.870390,4742223.000000,,3.174870,
0.036000,0.193540,0.947200,2.020020,204.335590,-348.870360,4742248.500000,,3.169740,
0.036000,0.193540,0.947200,2.020020,204.335590,-348.870360,4742248.500000,,3.169740,
0.038000,0.192260,1.117680,2.040530,204.340710,-348.870360,4742273.500000,,3.167180,
0.040000,0.190980,1.284300,1.907230,204.347290,-348.870360,4742299.000000,1.000000,3.165890,-379.503300
0.042000,0.190980,1.425290,1.589360,204.355550,-348.870390,4742324.000000,,3.164610,
0.044000,0.189700,1.550900,1.568850,204.365710,-348.870420,4742349.500000,,3.164610,
0.046000,0.188420,1.645750,1.558590,204.377940,-348.870480,4742374.500000,,3.168460,
0.048000,0.188420,1.707280,2.163570,204.392350,-348.870510,4742400.000000,1.000000,3.174870,-379.503300
0.050000,0.187130,1.738040,2.194340,204.408910,-348.870540,4742425.500000,,3.178710,
0.052000,0.185850,1.752140,2.214840,204.427610,-348.870570,4742451.000000,,3.186400,
0.054000,0.183290,1.738040,1.886720,204.448390,-348.870610,4742476.000000,,3.192810,
0.056000,0.182010,1.694460,1.671390,204.471120,-348.870640,4742501.000000,1.000000,3.199220,-379.503330
0.058000,0.180730,1.623960,1.702150,204.495610,-348.870640,4742526.500000,,3.208190,
0.060000,0.178160,1.544490,2.009770,204.521670,-348.870640,4742552.000000,,3.210750,
0.062000,0.176880,1.450930,2.081540,204.549100,-348.870640,4742577.000000,,3.213320,
0.064000,0.176880,1.338130,1.712400,204.577700,-348.870640,4742602.500000,1.000000,3.218440,-379.503360
