time,+/Nck/!SD/nckServoDataActCurr32 [u1; 1],+/Nck/!SD/nckServoDataActCurr32 [u1; 2],+/Nck/!SD/nckServoDataActCurr32 [u1; 4],+/Nck/!SD/nckServoDataActPos1stEnc32 [u1; 2],+/Nck/!SD/nckServoDataActPos1stEnc32 [u1; 3],+/Nck/!SD/nckServoDataActPos1stEnc32 [u1; 4],+/Channel/!RP/rpa [u1; 15]
0.000000,0.161500,-0.126890,1.876460,235.527530,-358.711430,1091861.875000,1.000000
0.002000,0.162780,-0.121770,1.661130,235.527530,-358.711580,1091887.250000,
0.004000,0.165340,-0.123050,1.486820,235.527530,-358.711700,1091912.500000,
0.006000,0.166630,-0.119200,1.712400,235.527530,-358.711820,1091937.750000,
0.008000,0.166630,-0.117920,1.456050,235.527530,-358.711910,1091963.125000,1.000000
0.010000,0.167910,-0.117920,1.927730,235.527530,-358.712040,1091988.375000,
0.012000,0.169190,-0.115360,2.184080,235.527530,-358.712100,1092013.625000,
0.014000,0.171750,-0.111510,1.927730,235.527530,-358.712190,1092039.000000,
0.016000,0.173030,-0.112790,1.927730,235.527560,-358.712310,1092064.250000,1.000000
0.018000,0.173030,-0.085880,1.845700,235.527560,-358.712400,1092089.500000,
0.020000,0.174320,0.285830,1.691890,235.528110,-358.712460,1092114.875000,
0.022000,0.174320,0.307620,1.835450,235.529450,-358.712520,1092140.125000,
0.024000,0.174320,0.287110,2.163570,235.530870,-358.712590,1092165.375000,1.000000
0.026000,0.174320,0.379390,2.020020,235.532100,-358.712590,1092190.750000,
0.028000,0.171750,0.502440,1.835450,235.533450,-358.712620,1092216.000000,
0.030000,0.170470,0.599850,1.527830,235.535290,-358.712680,1092241.250000,
0.032000,0.169190,0.685730,1.507320,235.537860,-358.712740,1092266.625000,1.000000
0.034000,0.166630,0.784420,1.743160,235.541120,-358.712800,1092291.875000,
0.036000,0.166630,0.915160,1.743160,235.545270,-358.712830,1092317.250000,
0.038000,0.165340,1.072810,2.050780,235.550520,-358.712800,1092342.625000,
0.040000,0.164060,1.225340,1.886720,235.557220,-358.712830,1092367.875000,1.000000
0.042000,0.161500,1.356080,2.225100,235.565580,-358.712830,1092393.125000,
0.044000,0.161500,1.475280,1.722660,235.575780,-358.712860,1092418.500000,
0.046000,0.160220,1.573970,1.681640,235.588000,-358.712860,1092443.750000,
0.048000,0.157650,1.640630,1.948240,235.602330,-358.712920,1092469.000000,1.000000
0.050000,0.155090,1.681640,1.814940,235.618800,-358.712950,1092494.375000,
0.052000,0.152530,1.703430,1.937990,235.637370,-358.712980,1092519.625000,
0.054000,0.151250,1.705990,1.814940,235.657970,-358.712980,1092544.875000,
0.056000,0.148680,1.676510,1.794430,235.680530,-358.713010,1092570.250000,1.000000
0.058000,0.146120,1.616270,1.527830,235.704850,-358.713010,1092595.500000,
0.060000,0.143550,1.529110,1.763670,235.730740,-358.713010,1092620.750000,
0.062000,0.142270,1.426570,1.907230,235.758100,-358.713010,1092646.125000,
0.064000,0.142270,1.315060,1.671390,235.786610,-358.713010,1092671.375000,1.000000
0.066000,0.142270,1.221500,1.599610,235.815980,-358.713010,1092696.625000,
0.068000,0.140990,1.147160,1.589360,235.845990,-358.713010,1092722.000000,
0.070000,0.140990,1.063840,2.030270,235.876570,-358.713010,1092747.250000,
0.072000,0.139710,0.979250,1.876460,235.907550,-358.713010,1092772.500000,1.000000
0.074000,0.139710,0.913880,2.225100,235.938720,-358.713010,1092797.875000,
0.076000,0.139710,0.851070,1.825200,235.969970,-358.713010,1092823.125000,
0.078000,0.138430,0.804930,1.979000,236.001140,-358.713010,1092848.375000,
0.080000,0.139710,0.751100,1.599610,236.032320,-358.713010,1092873.750000,1.000000
0.082000,0.138430,0.704960,1.650880,236.063430,-358.713010,1092899.000000,
0.084000,0.135860,0.665220,1.896970,236.094500,-358.713010,1092924.375000,
0.086000,0.137150,0.629330,1.763670,236.125550,-358.712980,1092949.625000,
0.088000,0.135860,0.594730,2.102050,236.156630,-358.712980,1092974.875000,1.000000
0.090000,0.137150,0.569090,1.866210,236.187670,-358.712980,1093000.250000,
0.092000,0.138430,0.546020,1.732910,236.218720,-358.712980,1093025.500000,
0.094000,0.137150,0.525510,1.507320,236.249760,-358.712980,1093050.750000,
0.096000,0.135860,0.490910,1.773930,236.280850,-358.712980,1093076.125000,1.000000
0.098000,0.134580,0.453740,2.122560,236.311950,-358.712980,1093101.375000,
0.100000,0.133300,0.431950,2.040530,236.343020,-358.712950,1093126.625000,
0.102000,0.134580,0.425540,2.378910,236.374020,-358.712950,1093152.000000,
0.104000,0.133300,0.442200,1.866210,236.404910,-358.712950,1093177.250000,1.000000
0.106000,0.133300,0.472960,1.814940,236.435700,-358.712950,1093202.625000,
0.108000,0.129460,0.493470,1.855960,236.466480,-358.712950,1093227.875000,
0.110000,0.128170,0.502440,1.753420,236.497330,-358.712950,1093253.250000,
0.112000,0.128170,0.489620,1.876460,236.528320,-358.712950,1093278.500000,1.000000
0.114000,0.128170,0.470400,1.896970,236.559480,-358.712950,1093303.750000,
0.116000,0.129460,0.465270,1.691890,236.590650,-358.712920,1093329.125000,
0.118000,0.126890,0.481930,1.599610,236.621860,-358.712920,1093354.375000,
0.120000,0.126890,0.506290,1.732910,236.653080,-358.712950,1093379.625000,1.000000
0.122000,0.128170,0.520390,1.476560,236.684360,-358.712920,1093405.000000,
0.124000,0.126890,0.534480,1.917480,236.715700,-358.712920,1093430.250000,
0.126000,0.128170,0.556270,2.091800,236.747020,-358.712920,1093455.625000,
0.128000,0.126890,0.590880,1.886720,236.778350,-358.712890,1093480.875000,1.000000
0.130000,0.128170,0.635740,1.866210,236.809630,-358.712890,1093506.125000,
0.132000,0.129460,0.678040,1.804690,236.840930,-358.712890,1093531.500000,
0.134000,0.128170,0.710080,1.722660,236.872270,-358.712890,1093556.750000,
