time,+/Nck/!SD/nckServoDataActCurr32 [u1; 1],+/Nck/!SD/nckServoDataActCurr32 [u1; 2],+/Nck/!SD/nckServoDataActCurr32 [u1; 4],+/Nck/!SD/nckServoDataActPos1stEnc32 [u1; 2],+/Nck/!SD/nckServoDataActPos1stEnc32 [u1; 3],+/Nck/!SD/nckServoDataActPos1stEnc32 [u1; 4],+/Channel/!RP/rpa [u1; 15]
0.000000,0.155090,-0.156370,2.020020,235.528030,-352.679050,1506743.000000,1.000000
0.002000,0.157650,-0.153810,1.896970,235.528050,-352.679170,1506768.250000,
0.004000,0.158940,-0.151250,1.937990,235.528050,-352.679290,1506793.625000,
0.006000,0.160220,-0.147400,1.753420,235.528050,-352.679410,1506818.875000,
0.008000,0.160220,-0.144840,1.814940,235.528050,-352.679500,1506844.125000,1.000000
0.010000,0.162780,-0.143550,2.194340,235.528050,-352.679530,1506869.500000,
0.012000,0.165340,-0.142270,2.030270,235.528050,-352.679630,1506894.750000,
0.014000,0.164060,-0.139710,1.743160,235.528050,-352.679690,1506920.000000,
0.016000,0.165340,-0.137150,1.681640,235.528080,-352.679810,1506945.375000,1.000000
0.018000,0.165340,-0.111510,1.425290,235.528080,-352.679870,1506970.625000,
0.020000,0.165340,0.257630,1.753420,235.528630,-352.679960,1506996.000000,
0.022000,0.165340,0.285830,1.866210,235.529950,-352.680020,1507021.250000,
0.024000,0.165340,0.275570,2.122560,235.531360,-352.680050,1507046.625000,1.000000
0.026000,0.166630,0.369140,1.917480,235.532550,-352.680080,1507071.875000,
0.028000,0.164060,0.488340,2.091800,235.533910,-352.680110,1507097.250000,
0.030000,0.162780,0.584470,1.681640,235.535750,-352.680150,1507122.500000,
0.032000,0.161500,0.667790,1.702150,235.538270,-352.680210,1507147.750000,1.000000
0.034000,0.157650,0.769040,1.989260,235.541550,-352.680240,1507173.125000,
0.036000,0.155090,0.901060,2.020020,235.545700,-352.680270,1507198.375000,
0.038000,0.155090,1.061280,2.081540,235.550950,-352.680240,1507223.625000,
0.040000,0.152530,1.211240,1.989260,235.557650,-352.680240,1507249.000000,1.000000
