time,+/Nck/!SD/nckServoDataActCurr32 [u1; 1],+/Nck/!SD/nckServoDataActCurr32 [u1; 2],+/Nck/!SD/nckServoDataActCurr32 [u1; 4],+/Nck/!SD/nckServoDataActPos1stEnc32 [u1; 2],+/Nck/!SD/nckServoDataActPos1stEnc32 [u1; 3],+/Nck/!SD/nckServoDataActPos1stEnc32 [u1; 4],+/Channel/!RP/rpa [u1; 15]
0.000000,0.155090,-0.082030,1.732910,235.527570,-340.030430,1472098.625000,1.000000
0.002000,0.155090,-0.076900,1.773930,235.527570,-340.030580,1472123.875000,
0.004000,0.158940,-0.078190,2.071290,235.527570,-340.030670,1472149.250000,
0.006000,0.158940,-0.075620,2.020020,235.527600,-340.030760,1472174.500000,
0.008000,0.160220,-0.071780,2.009770,235.527570,-340.030880,1472199.750000,1.000000
0.010000,0.160220,-0.071780,2.081540,235.527600,-340.030980,1472225.125000,
0.012000,0.162780,-0.067930,1.794430,235.527600,-340.031070,1472250.375000,
0.014000,0.161500,-0.069210,1.804690,235.527600,-340.031160,1472275.625000,
0.016000,0.161500,-0.065370,2.081540,235.527600,-340.031250,1472301.000000,1.000000
0.018000,0.161500,-0.042300,2.184080,235.527600,-340.031310,1472326.250000,
0.020000,0.160220,0.331970,1.855960,235.528150,-340.031400,1472351.500000,
0.022000,0.160220,0.344790,1.732910,235.529560,-340.031460,1472376.875000,
0.024000,0.160220,0.299930,1.702150,235.531100,-340.031520,1472402.125000,1.000000
0.026000,0.157650,0.374270,1.712400,235.532460,-340.031560,1472427.375000,
0.028000,0.156370,0.485780,1.794430,235.533870,-340.031590,1472452.750000,
0.030000,0.155090,0.572940,1.825200,235.535800,-340.031590,1472478.000000,
0.032000,0.153810,0.649840,1.825200,235.538380,-340.031680,1472503.250000,1.000000
0.034000,0.152530,0.745970,1.958500,235.541660,-340.031710,1472528.625000,
0.036000,0.149960,0.880550,1.794430,235.545780,-340.031710,1472553.875000,
0.038000,0.148680,1.043330,2.009770,235.550980,-340.031710,1472579.250000,
