time,+/Nck/!SD/nckServoDataActCurr32 [u1; 1],+/Nck/!SD/nckServoDataActCurr32 [u1; 2],+/Nck/!SD/nckServoDataActCurr32 [u1; 4],+/Nck/!SD/nckServoDataActPos1stEnc32 [u1; 2],+/Nck/!SD/nckServoDataActPos1stEnc32 [u1; 3],+/Nck/!SD/nckServoDataActPos1stEnc32 [u1; 4],+/Channel/!RP/rpa [u1; 15],+/Nck/!SD/nckServoDataActCurr32 [u1; 3],+/Nck/!SD/nckServoDataActPos1stEnc32 [u1; 1]
0.000000,0.171750,-0.125610,1.876460,204.317210,-342.868960,2323960.750000,1.000000,3.173580,-479.503140
0.002000,0.171750,-0.124330,2.030270,204.317210,-342.869140,2323986.000000,,3.171020,
0.004000,0.171750,-0.120480,1.907230,204.317210,-342.869320,2324011.250000,,3.169740,
0.006000,0.171750,-0.116640,1.691890,204.317230,-342.869450,2324036.500000,,3.162050,
0.008000,0.171750,-0.112790,2.081540,204.317230,-342.869570,2324061.750000,1.000000,3.158200,-479.503140
0.010000,0.171750,-0.110230,2.112300,204.317230,-342.869690,2324087.250000,,3.153080,
0.012000,0.173030,-0.107670,1.804690,204.317230,-342.869750,2324112.500000,,3.147950,
0.014000,0.171750,-0.103820,1.599610,204.317250,-342.869840,2324137.750000,,3.146670,
0.016000,0.173030,-0.103820,1.650880,204.317250,-342.869960,2324163.000000,1.000000,3.147950,-479.503140
0.018000,0.174320,-0.074340,1.568850,204.317260,-342.870090,2324188.250000,,3.150510,
0.020000,0.174320,0.293520,1.743160,204.317830,-342.870210,2324213.500000,,3.156920,
0.022000,0.174320,0.323000,1.558590,204.319140,-342.870300,2324239.000000,,3.163330,
0.024000,0.174320,0.338380,1.896970,204.320430,-342.870390,2324264.250000,1.000000,3.164610,-479.503140
0.026000,0.173030,0.428100,1.661130,204.321610,-342.870450,2324289.500000,,3.164610,
0.028000,0.174320,0.537050,1.948240,204.322980,-342.870510,2324314.750000,,3.167180,
0.028000,0.174320,0.537050,1.948240,204.322980,-342.870510,2324314.750000,,3.167180,
0.030000,0.174320,0.625490,1.845700,204.324840,-342.870610,2324340.000000,,3.173580,
0.032000,0.175600,0.712650,1.866210,204.327330,-342.870670,2324365.250000,1.000000,3.185120,-479.503140
0.034000,0.174320,0.824160,1.876460,204.330580,-342.870730,2324390.750000,,3.186400,
0.036000,0.174320,0.961300,1.937990,204.334690,-342.870730,2324416.000000,,3.181270,
0.038000,0.173030,1.116390,1.896970,204.339920,-342.870730,2324441.250000,,3.174870,
0.040000,0.173030,1.271480,1.712400,204.346570,-342.870730,2324466.500000,1.000000,3.172300,-479.503140
0.042000,0.174320,1.403500,1.825200,204.354920,-342.870760,2324492.000000,,3.171020,
0.044000,0.174320,1.517580,1.763670,204.365160,-342.870790,2324517.250000,,3.169740,
0.046000,0.174320,1.607300,1.855960,204.377460,-342.870820,2324542.500000,,3.171020,
0.048000,0.174320,1.662410,1.917480,204.391860,-342.870880,2324567.750000,1.000000,3.176150,-479.503140
0.050000,0.173030,1.693180,1.599610,204.408420,-342.870910,2324593.000000,,3.181270,
0.052000,0.171750,1.703430,1.763670,204.427090,-342.870940,2324618.500000,,3.187680,
0.054000,0.170470,1.688050,1.681640,204.447830,-342.870970,2324643.750000,,3.191530,
0.056000,0.170470,1.641910,2.163570,204.470500,-342.871000,2324669.000000,1.000000,3.199220,-479.503140
0.058000,0.169190,1.571410,2.214840,204.494950,-342.871030,2324694.250000,,3.205630,
0.060000,0.166630,1.491940,2.286620,204.520940,-342.871030,2324719.500000,,3.205630,
0.062000,0.165340,1.400940,1.804690,204.548290,-342.871030,2324744.750000,,3.210750,
0.064000,0.165340,1.294560,1.835450,204.576830,-342.871030,2324770.250000,1.000000,3.214600,-479.503200
0.066000,0.165340,1.190730,1.958500,204.606290,-342.871030,2324795.500000,,3.217160,
0.068000,0.165340,1.101010,1.722660,204.636410,-342.871030,2324820.750000,,3.219730,
0.070000,0.165340,1.030520,1.825200,204.667010,-342.871030,2324846.000000,,3.223570,
0.072000,0.166630,0.963870,2.061040,204.697970,-342.871030,2324871.250000,1.000000,3.226140,-479.503200
0.074000,0.165340,0.904910,1.886720,204.729100,-342.871030,2324896.500000,,3.228700,
0.076000,0.165340,0.867740,1.640630,204.760250,-342.871000,2324922.000000,,3.231260,
0.078000,0.165340,0.838260,1.538090,204.791310,-342.871000,2324947.250000,,3.235110,
0.080000,0.165340,0.822880,1.568850,204.822250,-342.871000,2324972.500000,1.000000,3.238950,-479.503200
0.082000,0.166630,0.810060,1.743160,204.853120,-342.871000,2324997.750000,,3.241520,
0.084000,0.165340,0.786990,2.009770,204.884020,-342.871000,2325023.250000,,3.245360,
0.086000,0.165340,0.743410,2.071290,204.915020,-342.870970,2325048.250000,,3.246640,
0.088000,0.164060,0.685730,2.112300,204.946110,-342.870970,2325073.750000,1.000000,3.250490,-479.503200
0.090000,0.162780,0.608830,1.937990,204.977360,-342.870940,2325099.000000,,3.250490,
0.092000,0.164060,0.524230,1.486820,205.008700,-342.870940,2325124.250000,,3.254330,
0.094000,0.162780,0.461430,2.020020,205.040010,-342.870940,2325149.500000,,3.254330,
0.096000,0.162780,0.425540,1.794430,205.071240,-342.870940,2325175.000000,1.000000,3.255620,-479.503200
0.098000,0.162780,0.393490,1.784180,205.102390,-342.870940,2325200.000000,,3.258180,
0.100000,0.161500,0.364010,1.927730,205.133500,-342.870940,2325225.500000,,3.256900,
0.102000,0.160220,0.351200,1.794430,205.164520,-342.870940,2325250.750000,,3.259460,
0.104000,0.160220,0.356320,1.620120,205.195400,-342.870910,2325276.000000,1.000000,3.259460,-479.503200
0.106000,0.158940,0.380680,1.661130,205.226180,-342.870910,2325301.500000,,3.262020,
0.108000,0.158940,0.406310,1.937990,205.256930,-342.870910,2325326.750000,,3.263310,
0.110000,0.157650,0.431950,1.948240,205.287640,-342.870910,2325352.000000,,3.264590,
0.112000,0.156370,0.453740,2.122560,205.318450,-342.870910,2325377.250000,1.000000,3.264590,-479.503200
0.114000,0.155090,0.476810,1.958500,205.349320,-342.870910,2325402.500000,,3.267150,
0.116000,0.156370,0.498600,2.091800,205.380260,-342.870910,2325427.750000,,3.267150,
0.118000,0.155090,0.524230,1.907230,205.411250,-342.870910,2325453.250000,,3.269710,
0.120000,0.153810,0.542180,1.845700,205.442370,-342.870910,2325478.500000,1.000000,3.271000,-479.503200
0.122000,0.153810,0.558840,2.204590,205.473560,-342.870910,2325503.750000,,3.272280,
0.124000,0.152530,0.569090,2.173830,205.504870,-342.870910,2325529.000000,,3.274840,
0.126000,0.152530,0.589600,1.804690,205.536190,-342.870910,2325554.500000,,3.278690,
0.128000,0.149960,0.626770,1.763670,205.567520,-342.870910,2325579.500000,1.000000,3.282530,-479.503230
0.130000,0.149960,0.685730,1.579100,205.598820,-342.870910,2325605.000000,,3.283810,
0.132000,0.149960,0.733150,1.702150,205.630140,-342.870880,2325630.250000,,3.287660,
0.134000,0.148680,0.767760,1.681640,205.661560,-342.870880,2325655.500000,,3.291500,
0.136000,0.149960,0.785710,1.763670,205.693120,-342.870880,2325680.750000,1.000000,3.292790,-479.503230
0.138000,0.148680,0.783140,1.979000,205.724810,-342.870880,2325706.250000,,3.294070,
0.140000,0.147400,0.775450,1.825200,205.756610,-342.870880,2325731.250000,,3.296630,
0.142000,0.147400,0.763920,1.630370,205.788480,-342.870880,2325756.750000,,3.300480,
0.144000,0.148680,0.763920,1.866210,205.820330,-342.870880,2325782.000000,1.000000,3.303040,-479.503230
0.146000,0.149960,0.780580,1.825200,205.852100,-342.870880,2325807.250000,,3.305600,
0.148000,0.149960,0.798520,1.743160,205.883830,-342.870880,2325832.500000,,3.310730,
0.150000,0.151250,0.797240,1.907230,205.915620,-342.870850,2325858.000000,,3.313290,
0.152000,0.152530,0.792110,1.958500,205.947370,-342.870850,2325883.000000,1.000000,3.314580,-479.503300
0.154000,0.152530,0.781860,1.763670,205.979170,-342.870820,2325908.500000,,3.318420,
