time,+/Nck/!SD/nckServoDataActCurr32 [u1; 1],+/Nck/!SD/nckServoDataActCurr32 [u1; 2],+/Nck/!SD/nckServoDataActCurr32 [u1; 4],+/Nck/!SD/nckServoDataActPos1stEnc32 [u1; 2],+/Nck/!SD/nckServoDataActPos1stEnc32 [u1; 3],+/Nck/!SD/nckServoDataActPos1stEnc32 [u1; 4],+/Channel/!RP/rpa [u1; 15]
0.000000,0.112790,-0.064090,1.948240,235.532320,-384.676670,15369.811520,1.000000
0.002000,0.112790,-0.066650,1.825200,235.532320,-384.676790,15395.097660,
0.004000,0.112790,-0.064090,1.773930,235.532320,-384.676910,15420.393550,
0.006000,0.114070,-0.065370,1.558590,235.532320,-384.677060,15445.689450,
0.008000,0.115360,-0.066650,1.640630,235.532320,-384.677190,15470.989260,1.000000
0.010000,0.114070,-0.065370,1.876460,235.532320,-384.677280,15496.286130,
0.012000,0.116640,-0.067930,1.773930,235.532320,-384.677400,15521.581050,
0.014000,0.116640,-0.069210,1.845700,235.532320,-384.677520,15546.881840,
0.016000,0.117920,-0.067930,1.527830,235.532320,-384.677640,15572.175780,1.000000
0.018000,0.120480,-0.048710,1.743160,235.532320,-384.677760,15597.476560,
0.020000,0.120480,0.324280,1.927730,235.532870,-384.677830,15622.763670,
0.022000,0.121770,0.330690,1.989260,235.534270,-384.677890,15648.059570,
0.024000,0.123050,0.284550,2.071290,235.535800,-384.677950,15673.348630,1.000000
0.026000,0.124330,0.360170,1.917480,235.537120,-384.677950,15698.643550,
0.028000,0.125610,0.469120,1.958500,235.538570,-384.677980,15723.942380,
0.030000,0.126890,0.549870,1.671390,235.540500,-384.678040,15749.236330,
0.032000,0.128170,0.629330,1.671390,235.543050,-384.678070,15774.534180,1.000000
0.034000,0.128170,0.735720,1.722660,235.546280,-384.678130,15799.830080,
0.036000,0.129460,0.880550,1.671390,235.550320,-384.678160,15825.127930,
0.038000,0.130740,1.057430,1.855960,235.555420,-384.678130,15850.423830,
0.040000,0.132020,1.230470,1.589360,235.561920,-384.678130,15875.714840,1.000000
0.042000,0.132020,1.381710,1.702150,235.570070,-384.678160,15901.020510,
0.044000,0.132020,1.521420,1.620120,235.580120,-384.678160,15926.318360,
0.046000,0.133300,1.634220,1.599610,235.592220,-384.678190,15951.619140,
0.048000,0.133300,1.707280,1.937990,235.606480,-384.678250,15976.905270,1.000000
0.050000,0.132020,1.754700,1.886720,235.622920,-384.678280,16002.203130,
0.052000,0.133300,1.789310,2.153320,235.641450,-384.678310,16027.491210,
0.054000,0.133300,1.803410,1.517580,235.662050,-384.678310,16052.785160,
0.056000,0.130740,1.776490,1.804690,235.684630,-384.678340,16078.087890,1.000000
0.058000,0.130740,1.712400,1.948240,235.709030,-384.678340,16103.378910,
0.060000,0.128170,1.620120,1.773930,235.735050,-384.678340,16128.679690,
0.062000,0.126890,1.516300,1.814940,235.762480,-384.678340,16153.972660,
0.064000,0.125610,1.407350,1.958500,235.791050,-384.678340,16179.267580,1.000000
0.066000,0.124330,1.312500,1.579100,235.820530,-384.678310,16204.566410,
0.068000,0.125610,1.225340,1.620120,235.850680,-384.678310,16229.864260,
0.070000,0.123050,1.130490,1.466310,235.881390,-384.678310,16255.157230,
0.072000,0.123050,1.040770,1.753420,235.912480,-384.678310,16280.460940,1.000000
0.074000,0.120480,0.971560,1.794430,235.943700,-384.678310,16305.761720,
0.076000,0.120480,0.907470,2.061040,235.975010,-384.678310,16331.047850,
0.078000,0.123050,0.845950,2.071290,236.006260,-384.678310,16356.340820,
0.080000,0.120480,0.780580,2.050780,236.037510,-384.678310,16381.633790,1.000000
0.082000,0.120480,0.728030,1.773930,236.068650,-384.678310,16406.929690,
0.084000,0.119200,0.684450,1.650880,236.099780,-384.678310,16432.226560,
0.086000,0.119200,0.634460,1.753420,236.130870,-384.678280,16457.517580,
0.088000,0.119200,0.581910,2.163570,236.162000,-384.678280,16482.816410,1.000000
0.090000,0.119200,0.535770,1.896970,236.193130,-384.678250,16508.115230,
0.092000,0.119200,0.508850,1.845700,236.224180,-384.678250,16533.412110,
0.094000,0.117920,0.481930,1.579100,236.255170,-384.678250,16558.707030,
0.096000,0.116640,0.446040,1.445800,236.286190,-384.678220,16584.007810,1.000000
0.098000,0.117920,0.406310,1.702150,236.317230,-384.678220,16609.304690,
0.100000,0.116640,0.387080,1.579100,236.348210,-384.678220,16634.597660,
0.102000,0.116640,0.390930,1.866210,236.379030,-384.678220,16659.898440,
0.104000,0.116640,0.415280,1.773930,236.409770,-384.678220,16685.195310,1.000000
0.106000,0.114070,0.447330,2.122560,236.440430,-384.678220,16710.486330,
0.108000,0.115360,0.479370,1.702150,236.471100,-384.678190,16735.777340,
0.110000,0.112790,0.487060,1.794430,236.501850,-384.678190,16761.074220,
0.112000,0.112790,0.483220,1.650880,236.532750,-384.678190,16786.367190,1.000000
0.114000,0.110230,0.470400,1.794430,236.563830,-384.678190,16811.667970,
0.116000,0.110230,0.472960,2.061040,236.594960,-384.678160,16836.960940,
0.118000,0.111510,0.496030,1.661130,236.626100,-384.678190,16862.253910,
0.120000,0.108950,0.517820,1.784180,236.657300,-384.678190,16887.556640,1.000000
0.122000,0.108950,0.537050,1.630370,236.688570,-384.678190,16912.849610,
0.124000,0.107670,0.558840,1.753420,236.719880,-384.678190,16938.146480,
0.126000,0.106380,0.590880,1.825200,236.751210,-384.678160,16963.443360,
0.128000,0.108950,0.630620,1.804690,236.782500,-384.678160,16988.746090,1.000000
0.130000,0.107670,0.683170,1.773930,236.813780,-384.678160,17014.042970,
0.132000,0.107670,0.748540,1.661130,236.845000,-384.678160,17039.337890,
0.134000,0.107670,0.801090,1.896970,236.876250,-384.678160,17064.626950,
0.136000,0.106380,0.840820,1.917480,236.907620,-384.678130,17089.917970,1.000000
0.138000,0.107670,0.849790,2.081540,236.939150,-384.678130,17115.212890,
0.140000,0.106380,0.838260,2.102050,236.970900,-384.678130,17140.509770,
0.142000,0.107670,0.831850,1.917480,237.002700,-384.678130,17165.808590,
0.144000,0.107670,0.825440,1.866210,237.034580,-384.678100,17191.101560,1.000000
0.146000,0.107670,0.807500,1.568850,237.066530,-384.678100,17216.396480,
0.148000,0.108950,0.760070,1.568850,237.098620,-384.678100,17241.695310,
0.150000,0.107670,0.715210,1.773930,237.130750,-384.678100,17266.986330,
0.152000,0.108950,0.694700,1.814940,237.162780,-384.678070,17292.289060,1.000000
0.154000,0.110230,0.699830,1.917480,237.194700,-384.678070,17317.585940,
0.156000,0.110230,0.715210,1.609860,237.226470,-384.678040,17342.888670,
0.158000,0.112790,0.726750,1.620120,237.258220,-384.678040,17368.187500,
0.160000,0.114070,0.724180,1.527830,237.289900,-384.678040,17393.476560,1.000000
0.162000,0.115360,0.713930,1.804690,237.321580,-384.678040,17418.773440,
0.164000,0.116640,0.690860,1.989260,237.353270,-384.678040,17444.066410,
0.166000,0.117920,0.665220,2.153320,237.384990,-384.678040,17469.363280,
0.168000,0.119200,0.652400,1.825200,237.416670,-384.678010,17494.654300,1.000000
0.170000,0.120480,0.640870,1.681640,237.448320,-384.678010,17519.953130,
0.172000,0.121770,0.617800,1.845700,237.480000,-384.678010,17545.248050,
0.174000,0.123050,0.584470,1.466310,237.511670,-384.678010,17570.546880,
0.176000,0.123050,0.538330,1.794430,237.543380,-384.678010,17595.847660,1.000000
0.178000,0.126890,0.503720,1.958500,237.575070,-384.677980,17621.136720,
0.180000,0.126890,0.472960,1.804690,237.606700,-384.677980,17646.443360,
0.182000,0.129460,0.457580,1.476560,237.638310,-384.677950,17671.730470,
0.184000,0.130740,0.457580,1.538090,237.669750,-384.677950,17697.031250,1.000000
0.186000,0.132020,0.462710,1.650880,237.701160,-384.677950,17722.330080,
0.188000,0.133300,0.467830,1.661130,237.732530,-384.677920,17747.628910,
0.190000,0.133300,0.461430,2.132810,237.763930,-384.677920,17772.921880,
0.192000,0.134580,0.453740,1.989260,237.795350,-384.677920,17798.210940,1.000000
0.194000,0.134580,0.465270,2.143070,237.826720,-384.677920,17823.509770,
0.196000,0.134580,0.487060,1.630370,237.858080,-384.677920,17848.794920,
0.198000,0.135860,0.502440,1.589360,237.889420,-384.677920,17874.097660,
0.200000,0.134580,0.512700,1.896970,237.920810,-384.677920,17899.388670,1.000000
0.202000,0.133300,0.537050,2.071290,237.952150,-384.677920,17924.689450,
0.204000,0.132020,0.576780,1.896970,237.983440,-384.677890,17949.986330,
0.206000,0.130740,0.624210,1.804690,238.014690,-384.677890,17975.277340,
0.208000,0.130740,0.674190,1.650880,238.045970,-384.677890,18000.580080,1.000000
0.210000,0.128170,0.699830,1.435550,238.077330,-384.677890,18025.880860,
0.212000,0.126890,0.719060,1.558590,238.108750,-384.677890,18051.175780,
0.214000,0.124330,0.715210,1.804690,238.140320,-384.677890,18076.472660,
0.216000,0.121770,0.710080,1.814940,238.172000,-384.677890,18101.771480,1.000000
0.218000,0.123050,0.708800,1.866210,238.203720,-384.677890,18127.066410,
0.220000,0.120480,0.717770,1.968750,238.235470,-384.677890,18152.355470,
0.222000,0.120480,0.728030,1.814940,238.267240,-384.677860,18177.648440,
0.224000,0.119200,0.722900,1.855960,238.299070,-384.677860,18202.947270,1.000000
0.226000,0.116640,0.707520,1.568850,238.330980,-384.677860,18228.246090,
0.228000,0.117920,0.694700,1.896970,238.362850,-384.677860,18253.539060,
0.230000,0.116640,0.687010,1.876460,238.394730,-384.677860,18278.832030,
0.232000,0.116640,0.684450,1.835450,238.426530,-384.677830,18304.128910,1.000000
0.234000,0.114070,0.694700,1.507320,238.458250,-384.677830,18329.425780,
0.236000,0.114070,0.711360,1.722660,238.489900,-384.677800,18354.728520,
0.238000,0.115360,0.716490,1.794430,238.521530,-384.677800,18380.021480,
0.240000,0.114070,0.720340,1.722660,238.553130,-384.677800,18405.324220,1.000000
0.242000,0.114070,0.701110,1.753420,238.584780,-384.677800,18430.617190,
0.244000,0.115360,0.685730,1.722660,238.616470,-384.677760,18455.916020,
0.246000,0.114070,0.666500,1.681640,238.648190,-384.677760,18481.208980,
0.248000,0.116640,0.633180,1.876460,238.679990,-384.677760,18506.501950,1.000000
0.250000,0.115360,0.596010,2.071290,238.711850,-384.677760,18531.800780,
0.252000,0.117920,0.565250,2.009770,238.743700,-384.677760,18557.089840,
0.254000,0.115360,0.540890,1.948240,238.775500,-384.677760,18582.394530,
0.256000,0.117920,0.526790,1.927730,238.807280,-384.677760,18607.679690,1.000000
0.258000,0.120480,0.517820,1.743160,238.838940,-384.677760,18632.978520,
0.260000,0.119200,0.517820,1.814940,238.870540,-384.677760,18658.271480,
0.262000,0.119200,0.531920,1.568850,238.902020,-384.677760,18683.570310,
0.264000,0.119200,0.552430,1.763670,238.933460,-384.677730,18708.871090,1.000000
0.266000,0.117920,0.561400,2.091800,238.964800,-384.677730,18734.164060,
0.268000,0.119200,0.575500,1.825200,238.996150,-384.677700,18759.464840,
0.270000,0.119200,0.594730,1.773930,239.027480,-384.677700,18784.765630,
0.272000,0.120480,0.616520,1.548340,239.058810,-384.677700,18810.062500,1.000000
0.274000,0.119200,0.640870,1.712400,239.090100,-384.677700,18835.355470,
0.276000,0.117920,0.635740,1.743160,239.121580,-384.677700,18860.650390,
0.278000,0.119200,0.613950,2.020020,239.153170,-384.677700,18885.941410,
0.280000,0.117920,0.589600,2.102050,239.184830,-384.677700,18911.230470,1.000000
0.282000,0.119200,0.566530,1.917480,239.216550,-384.677700,18936.531250,
0.284000,0.117920,0.560120,1.681640,239.248230,-384.677700,18961.828130,
0.286000,0.117920,0.571660,1.835450,239.279850,-384.677700,18987.126950,
0.288000,0.117920,0.594730,1.589360,239.311400,-384.677670,19012.416020,1.000000
0.290000,0.116640,0.617800,1.558590,239.342900,-384.677670,19037.716800,
0.292000,0.116640,0.635740,1.917480,239.374370,-384.677670,19063.013670,
0.294000,0.116640,0.656250,1.589360,239.405870,-384.677670,19088.310550,
0.296000,0.116640,0.680600,1.722660,239.437350,-384.677640,19113.611330,1.000000
0.298000,0.117920,0.697270,1.486820,239.468870,-384.677640,19138.906250,
0.300000,0.116640,0.698550,1.568850,239.500500,-384.677640,19164.214840,
0.302000,0.117920,0.697270,1.691890,239.532150,-384.677640,19189.500000,
0.304000,0.119200,0.702390,1.917480,239.563830,-384.677640,19214.794920,1.000000
0.306000,0.119200,0.706240,2.143070,239.595520,-384.677640,19240.087890,
0.308000,0.121770,0.712650,2.050780,239.627230,-384.677640,19265.380860,
0.310000,0.121770,0.692140,1.845700,239.659030,-384.677640,19290.675780,
0.312000,0.123050,0.672910,1.466310,239.690870,-384.677610,19315.968750,1.000000
0.314000,0.123050,0.652400,1.835450,239.722700,-384.677610,19341.269530,
0.316000,0.123050,0.653690,1.999510,239.754470,-384.677610,19366.558590,
0.318000,0.125610,0.654970,1.855960,239.786190,-384.677610,19391.859380,
0.320000,0.126890,0.667790,2.030270,239.817860,-384.677610,19417.154300,1.000000
0.322000,0.129460,0.689580,1.609860,239.849460,-384.677610,19442.455080,
0.324000,0.129460,0.685730,1.527830,239.881120,-384.677610,19467.751950,
0.326000,0.130740,0.667790,1.363770,239.912870,-384.677610,19493.042970,
0.328000,0.133300,0.649840,1.630370,239.944660,-384.677610,19518.347660,1.000000
0.330000,0.133300,0.638310,1.937990,239.976390,-384.677610,19543.640630,
0.332000,0.135860,0.625490,1.989260,240.008150,-384.677580,19568.939450,
0.334000,0.137150,0.615230,2.071290,240.039870,-384.677610,19594.230470,
0.336000,0.137150,0.612670,1.763670,240.071580,-384.677610,19619.523440,1.000000
0.338000,0.138430,0.607540,1.804690,240.103230,-384.677580,19644.818360,
0.340000,0.135860,0.606260,1.333010,240.134830,-384.677580,19670.109380,
0.342000,0.137150,0.606260,1.927730,240.166400,-384.677580,19695.412110,
0.344000,0.135860,0.599850,1.989260,240.197950,-384.677550,19720.699220,1.000000
0.346000,0.134580,0.599850,2.009770,240.229480,-384.677550,19746.005860,
0.348000,0.137150,0.588320,1.702150,240.261030,-384.677550,19771.296880,
0.350000,0.134580,0.578060,1.456050,240.292620,-384.677550,19796.597660,
0.352000,0.132020,0.575500,1.681640,240.324220,-384.677520,19821.892580,1.000000
0.354000,0.130740,0.583190,1.527830,240.355800,-384.677520,19847.187500,
0.356000,0.132020,0.590880,2.143070,240.387410,-384.677550,19872.486330,
0.358000,0.146120,0.602420,2.050780,240.418980,-384.677580,19897.773440,
0.360000,0.151250,0.626770,2.163570,240.450500,-384.677550,19923.074220,1.000000
0.362000,0.138430,0.635740,1.968750,240.482070,-384.677430,19948.353520,
0.364000,0.133300,0.620360,2.020020,240.513750,-384.677430,19973.648440,
0.366000,0.148680,0.606260,2.542970,240.545530,-384.677580,19998.923830,
0.368000,0.183290,0.625490,2.778810,240.577070,-384.677610,20024.207030,1.000000
0.370000,0.216610,0.712650,2.604490,240.608280,-384.677490,20049.494140,
0.372000,0.165340,0.795960,2.327640,240.639480,-384.677220,20074.785160,
0.374000,0.148680,0.754940,2.091800,240.671080,-384.677250,20100.074220,
0.376000,0.174320,0.721620,2.983890,240.702800,-384.677640,20125.347660,1.000000
0.378000,0.239690,0.742130,2.686520,240.734480,-384.677610,20150.634770,
0.380000,0.265320,0.794680,2.542970,240.765820,-384.677190,20175.921880,
0.382000,0.184570,0.766480,2.348140,240.797740,-384.677060,20201.220700,
0.384000,0.147400,0.620360,2.276370,240.830050,-384.677280,20226.511720,1.000000
0.386000,0.184570,0.598570,3.076170,240.862180,-384.677830,20251.787110,
0.388000,0.315310,0.666500,2.809570,240.893830,-384.677370,20277.072270,
0.390000,0.303770,0.698550,2.358400,240.925350,-384.676940,20302.359380,
0.392000,0.217900,0.701110,2.399410,240.957150,-384.677250,20327.658200,1.000000
