time,+/Nck/!SD/nckServoDataActCurr32 [u1; 1],+/Nck/!SD/nckServoDataActCurr32 [u1; 2],+/Nck/!SD/nckServoDataActCurr32 [u1; 4],+/Nck/!SD/nckServoDataActPos1stEnc32 [u1; 2],+/Nck/!SD/nckServoDataActPos1stEnc32 [u1; 3],+/Nck/!SD/nckServoDataActPos1stEnc32 [u1; 4],+/Channel/!RP/rpa [u1; 15]
0.000000,0.139710,-0.130740,1.732910,235.532470,-384.676270,255479.500000,1.000000
0.002000,0.138430,-0.129460,1.876460,235.532470,-384.676390,255504.796880,
0.004000,0.138430,-0.129460,2.225100,235.532500,-384.676510,255530.109380,
0.006000,0.139710,-0.132020,1.825200,235.532500,-384.676640,255555.406250,
0.008000,0.139710,-0.130740,1.948240,235.532500,-384.676760,255580.703130,1.000000
0.010000,0.140990,-0.134580,1.363770,235.532500,-384.676880,255605.984380,
0.012000,0.140990,-0.135860,1.445800,235.532500,-384.676970,255631.281250,
0.014000,0.142270,-0.135860,1.671390,235.532500,-384.677090,255656.609380,
0.016000,0.142270,-0.137150,1.743160,235.532500,-384.677190,255681.890630,1.000000
0.018000,0.143550,-0.140990,2.030270,235.532500,-384.677310,255707.187500,
0.020000,0.146120,-0.115360,1.968750,235.532500,-384.677400,255732.484380,
0.022000,0.148680,0.264040,1.866210,235.533080,-384.677490,255757.765630,
0.024000,0.149960,0.305050,1.979000,235.534530,-384.677520,255783.062500,1.000000
0.026000,0.149960,0.297360,1.609860,235.536190,-384.677550,255808.359380,
0.028000,0.151250,0.399900,1.948240,235.537830,-384.677580,255833.656250,
0.030000,0.152530,0.534480,2.071290,235.539750,-384.677580,255858.937500,
0.032000,0.153810,0.643430,1.979000,235.542340,-384.677610,255884.234380,1.000000
0.034000,0.155090,0.733150,1.968750,235.545780,-384.677670,255909.562500,
0.036000,0.156370,0.842100,1.743160,235.550090,-384.677730,255934.843750,
0.038000,0.157650,0.995910,1.661130,235.555450,-384.677760,255960.140630,
0.040000,0.158940,1.174070,1.558590,235.562060,-384.677760,255985.437500,1.000000
0.042000,0.157650,1.336850,2.009770,235.570300,-384.677760,256010.750000,
0.044000,0.158940,1.489380,1.855960,235.580320,-384.677760,256036.046880,
0.046000,0.158940,1.620120,1.650880,235.592380,-384.677760,256061.343750,
0.048000,0.160220,1.709840,1.855960,235.606550,-384.677830,256086.625000,1.000000
0.050000,0.158940,1.772640,1.979000,235.622920,-384.677860,256111.921880,
0.052000,0.157650,1.798280,1.999510,235.641490,-384.677890,256137.218750,
0.054000,0.156370,1.789310,1.845700,235.662200,-384.677890,256162.515630,
0.056000,0.156370,1.749570,1.968750,235.684880,-384.677920,256187.796880,1.000000
0.058000,0.155090,1.677800,1.814940,235.709350,-384.677920,256213.093750,
0.060000,0.153810,1.588070,1.866210,235.735400,-384.677920,256238.390630,
0.062000,0.151250,1.484250,1.671390,235.762850,-384.677920,256263.687500,
0.064000,0.149960,1.376590,1.712400,235.791440,-384.677920,256289.000000,1.000000
0.066000,0.148680,1.280460,1.876460,235.820910,-384.677920,256314.296880,
0.068000,0.147400,1.199710,1.794430,235.851030,-384.677920,256339.578130,
0.070000,0.147400,1.116390,1.855960,235.881670,-384.677920,256364.875000,
0.072000,0.147400,1.029240,1.620120,235.912700,-384.677890,256390.187500,1.000000
0.074000,0.144840,0.951050,1.558590,235.943950,-384.677890,256415.484380,
0.076000,0.146120,0.879270,1.599610,235.975280,-384.677890,256440.781250,
0.078000,0.143550,0.812620,2.112300,236.006550,-384.677890,256466.078130,
0.080000,0.143550,0.751100,2.102050,236.037780,-384.677890,256491.359380,1.000000
0.082000,0.140990,0.699830,2.163570,236.068920,-384.677890,256516.656250,
0.084000,0.140990,0.651120,1.886720,236.100050,-384.677890,256541.953130,
0.086000,0.139710,0.602420,1.753420,236.131150,-384.677890,256567.250000,
0.088000,0.138430,0.554990,1.876460,236.162230,-384.677890,256592.531250,1.000000
0.090000,0.137150,0.519100,1.804690,236.193270,-384.677860,256617.828130,
0.092000,0.134580,0.496030,1.866210,236.224270,-384.677830,256643.156250,
0.094000,0.133300,0.466550,2.009770,236.255250,-384.677830,256668.437500,
0.096000,0.133300,0.422970,1.896970,236.286300,-384.677830,256693.734380,1.000000
0.098000,0.132020,0.381960,1.876460,236.317350,-384.677830,256719.031250,
0.100000,0.132020,0.361450,1.466310,236.348300,-384.677830,256744.312500,
0.102000,0.129460,0.364010,1.855960,236.379150,-384.677830,256769.640630,
0.104000,0.128170,0.384520,1.691890,236.409900,-384.677800,256794.906250,1.000000
0.106000,0.128170,0.421690,2.173830,236.440520,-384.677800,256820.218750,
0.108000,0.126890,0.461430,2.061040,236.471150,-384.677800,256845.484380,
0.110000,0.125610,0.470400,2.009770,236.501910,-384.677800,256870.812500,
0.112000,0.125610,0.466550,1.804690,236.532780,-384.677800,256896.109380,1.000000
0.114000,0.124330,0.451170,1.743160,236.563840,-384.677800,256921.390630,
0.116000,0.124330,0.449890,2.030270,236.595000,-384.677800,256946.687500,
0.118000,0.121770,0.470400,1.804690,236.626140,-384.677800,256971.984380,
0.120000,0.124330,0.494750,1.989260,236.657350,-384.677800,256997.281250,1.000000
0.122000,0.123050,0.521670,1.773930,236.688600,-384.677800,257022.562500,
0.124000,0.123050,0.543460,1.548340,236.719890,-384.677800,257047.890630,
0.126000,0.124330,0.572940,1.538090,236.751220,-384.677760,257073.171880,
0.128000,0.124330,0.615230,1.589360,236.782500,-384.677760,257098.468750,1.000000
0.130000,0.124330,0.674190,1.753420,236.813750,-384.677760,257123.765630,
0.132000,0.124330,0.738280,2.091800,236.845000,-384.677760,257149.078130,
0.134000,0.124330,0.784420,1.999510,236.876300,-384.677730,257174.343750,
0.136000,0.125610,0.820310,1.979000,236.907670,-384.677730,257199.640630,1.000000
0.138000,0.125610,0.830570,1.855960,236.939220,-384.677730,257224.937500,
0.140000,0.126890,0.829280,1.743160,236.970930,-384.677730,257250.234380,
0.142000,0.126890,0.822880,1.722660,237.002730,-384.677730,257275.546880,
0.144000,0.128170,0.813900,2.112300,237.034610,-384.677730,257300.843750,1.000000
0.146000,0.128170,0.793400,2.173830,237.066570,-384.677730,257326.125000,
0.148000,0.129460,0.758790,1.876460,237.098620,-384.677730,257351.421880,
0.150000,0.130740,0.729310,1.753420,237.130710,-384.677700,257376.718750,
0.152000,0.132020,0.708800,1.425290,237.162720,-384.677700,257402.015630,1.000000
0.154000,0.132020,0.704960,1.507320,237.194670,-384.677670,257427.296880,
0.156000,0.135860,0.719060,1.866210,237.226500,-384.677670,257452.625000,
0.158000,0.138430,0.729310,1.917480,237.258260,-384.677670,257477.906250,
0.160000,0.139710,0.721620,1.948240,237.289980,-384.677670,257503.203130,1.000000
0.162000,0.140990,0.701110,2.050780,237.321700,-384.677640,257528.500000,
0.164000,0.143550,0.669070,1.937990,237.353470,-384.677640,257553.796880,
0.166000,0.146120,0.637020,1.671390,237.385250,-384.677610,257579.078130,
0.168000,0.147400,0.626770,1.979000,237.416930,-384.677610,257604.375000,1.000000
0.170000,0.148680,0.625490,1.907230,237.448550,-384.677610,257629.671880,
