time,+/Nck/!SD/nckServoDataActCurr32 [u1; 1],+/Nck/!SD/nckServoDataActCurr32 [u1; 2],+/Nck/!SD/nckServoDataActCurr32 [u1; 4],+/Nck/!SD/nckServoDataActPos1stEnc32 [u1; 2],+/Nck/!SD/nckServoDataActPos1stEnc32 [u1; 3],+/Nck/!SD/nckServoDataActPos1stEnc32 [u1; 4],+/Channel/!RP/rpa [u1; 15]
0.000000,0.164060,-0.116640,1.804690,235.529770,-364.709200,2098526.500000,1.000000
0.002000,0.161500,-0.112790,1.794430,235.529770,-364.709410,2098551.500000,
0.004000,0.161500,-0.107670,1.743160,235.529770,-364.709560,2098577.000000,
0.006000,0.157650,-0.106380,1.630370,235.529770,-364.709690,2098602.250000,
0.008000,0.155090,-0.102540,2.163570,235.529770,-364.709840,2098627.500000,1.000000
0.010000,0.156370,-0.099980,2.184080,235.529800,-364.709960,2098652.750000,
0.012000,0.153810,-0.098690,2.091800,235.529800,-364.710080,2098678.250000,
0.014000,0.152530,-0.097410,1.866210,235.529830,-364.710210,2098703.250000,
0.016000,0.149960,-0.094850,1.835450,235.529850,-364.710300,2098728.750000,1.000000
0.018000,0.147400,-0.071780,1.640630,235.529850,-364.710390,2098754.000000,
0.020000,0.146120,0.297360,1.743160,235.530400,-364.710510,2098779.250000,
0.022000,0.143550,0.310180,1.999510,235.531770,-364.710600,2098804.500000,
0.024000,0.143550,0.265320,1.896970,235.533290,-364.710660,2098830.000000,1.000000
0.026000,0.142270,0.333250,1.917480,235.534650,-364.710750,2098855.000000,
0.028000,0.139710,0.431950,1.486820,235.536120,-364.710780,2098880.500000,
0.030000,0.139710,0.505000,1.640630,235.538100,-364.710910,2098906.000000,
0.032000,0.138430,0.578060,1.907230,235.540650,-364.711000,2098931.000000,1.000000
0.034000,0.137150,0.688290,2.102050,235.543870,-364.711090,2098956.500000,
0.036000,0.137150,0.834410,2.245610,235.547900,-364.711090,2098981.750000,
0.038000,0.134580,1.002320,2.061040,235.553020,-364.711090,2099007.000000,
0.040000,0.134580,1.161250,1.753420,235.559560,-364.711090,2099032.250000,1.000000
0.042000,0.133300,1.315060,1.568850,235.567700,-364.711090,2099057.750000,
0.044000,0.133300,1.445800,1.845700,235.577740,-364.711120,2099082.750000,
0.046000,0.133300,1.550900,1.979000,235.589830,-364.711150,2099108.250000,
0.048000,0.132020,1.623960,1.948240,235.604080,-364.711210,2099133.500000,1.000000
0.050000,0.130740,1.675230,1.804690,235.620450,-364.711210,2099158.750000,
0.052000,0.130740,1.714970,1.548340,235.638900,-364.711270,2099184.000000,
0.054000,0.129460,1.735470,1.650880,235.659420,-364.711300,2099209.500000,
0.056000,0.128170,1.716250,1.322750,235.681930,-364.711330,2099234.500000,1.000000
0.058000,0.126890,1.659850,1.732910,235.706220,-364.711360,2099260.000000,
0.060000,0.128170,1.577820,1.917480,235.732180,-364.711360,2099285.250000,
0.062000,0.126890,1.482970,2.296880,235.759550,-364.711360,2099310.500000,
0.064000,0.126890,1.380430,1.886720,235.788070,-364.711360,2099335.750000,1.000000
0.066000,0.125610,1.291990,1.743160,235.817520,-364.711360,2099361.250000,
0.068000,0.126890,1.209960,1.763670,235.847660,-364.711360,2099386.250000,
0.070000,0.128170,1.126650,1.589360,235.878330,-364.711360,2099411.750000,
0.072000,0.126890,1.040770,2.112300,235.909420,-364.711360,2099437.000000,1.000000
0.074000,0.125610,0.972840,1.999510,235.940670,-364.711360,2099462.250000,
0.076000,0.125610,0.912600,2.009770,235.971970,-364.711360,2099487.500000,
0.078000,0.124330,0.866460,1.661130,236.003250,-364.711360,2099513.000000,
0.080000,0.125610,0.822880,1.753420,236.034450,-364.711360,2099538.000000,1.000000
0.082000,0.123050,0.784420,1.784180,236.065600,-364.711330,2099563.500000,
0.084000,0.123050,0.742130,1.630370,236.096760,-364.711330,2099588.750000,
0.086000,0.121770,0.687010,1.948240,236.127940,-364.711330,2099614.000000,
0.088000,0.121770,0.633180,1.999510,236.159180,-364.711330,2099639.250000,1.000000
0.090000,0.121770,0.584470,1.927730,236.190400,-364.711300,2099664.750000,
0.092000,0.121770,0.544740,1.927730,236.221600,-364.711300,2099690.000000,
0.094000,0.120480,0.505000,1.948240,236.252780,-364.711300,2099715.250000,
0.096000,0.120480,0.448610,1.763670,236.283980,-364.711300,2099740.750000,1.000000
0.098000,0.120480,0.392210,1.968750,236.315170,-364.711300,2099765.750000,
0.100000,0.120480,0.360170,2.009770,236.346270,-364.711300,2099791.250000,
0.102000,0.120480,0.358890,1.907230,236.377200,-364.711270,2099816.500000,
0.104000,0.120480,0.376830,1.558590,236.408000,-364.711270,2099841.750000,1.000000
0.106000,0.120480,0.401180,1.681640,236.438710,-364.711270,2099867.000000,
0.108000,0.120480,0.424260,1.568850,236.469380,-364.711270,2099892.500000,
0.110000,0.121770,0.429380,1.968750,236.500120,-364.711270,2099917.500000,
0.112000,0.121770,0.429380,1.804690,236.530940,-364.711270,2099943.000000,1.000000
0.114000,0.121770,0.417850,1.814940,236.561920,-364.711270,2099968.250000,
0.116000,0.124330,0.412720,1.763670,236.593020,-364.711240,2099993.500000,
0.118000,0.124330,0.426820,1.794430,236.624130,-364.711240,2100018.750000,
0.120000,0.126890,0.449890,1.712400,236.655270,-364.711240,2100044.250000,1.000000
0.122000,0.125610,0.472960,1.866210,236.686480,-364.711240,2100069.500000,
0.124000,0.128170,0.501160,2.235350,236.717680,-364.711240,2100094.750000,
0.126000,0.129460,0.529360,1.927730,236.748930,-364.711240,2100120.000000,
0.128000,0.130740,0.562680,2.061040,236.780200,-364.711210,2100145.250000,1.000000
