time,+/Nck/!SD/nckServoDataActCurr32 [u1; 1],+/Nck/!SD/nckServoDataActCurr32 [u1; 2],+/Nck/!SD/nckServoDataActCurr32 [u1; 4],+/Nck/!SD/nckServoDataActPos1stEnc32 [u1; 2],+/Nck/!SD/nckServoDataActPos1stEnc32 [u1; 3],+/Nck/!SD/nckServoDataActPos1stEnc32 [u1; 4],+/Channel/!RP/rpa [u1; 15]
0.000000,0.152530,-0.128170,1.784180,235.529340,-364.709260,592199.437500,1.000000
0.002000,0.152530,-0.123050,1.671390,235.529370,-364.709440,592224.687500,
0.004000,0.151250,-0.117920,1.568850,235.529370,-364.709630,592250.000000,
0.006000,0.148680,-0.115360,1.589360,235.529370,-364.709750,592275.312500,
0.008000,0.147400,-0.111510,1.845700,235.529370,-364.709870,592300.625000,1.000000
0.010000,0.146120,-0.108950,1.937990,235.529370,-364.709990,592325.937500,
0.012000,0.143550,-0.107670,2.409670,235.529400,-364.710110,592351.187500,
0.014000,0.143550,-0.106380,1.937990,235.529420,-364.710240,592376.500000,
0.016000,0.139710,-0.103820,1.989260,235.529420,-364.710330,592401.750000,1.000000
0.018000,0.139710,-0.082030,1.661130,235.529420,-364.710420,592427.125000,
0.020000,0.135860,0.288390,1.948240,235.530000,-364.710510,592452.375000,
0.022000,0.134580,0.303770,2.081540,235.531360,-364.710630,592477.687500,
0.024000,0.133300,0.264040,1.989260,235.532870,-364.710690,592503.000000,1.000000
0.026000,0.133300,0.333250,1.866210,235.534190,-364.710780,592528.312500,
0.028000,0.132020,0.431950,1.794430,235.535680,-364.710880,592553.562500,
0.030000,0.130740,0.505000,1.794430,235.537630,-364.710940,592578.875000,
0.032000,0.128170,0.578060,1.630370,235.540210,-364.711060,592604.187500,1.000000
0.034000,0.126890,0.688290,1.794430,235.543400,-364.711120,592629.437500,
0.036000,0.125610,0.836980,1.681640,235.547420,-364.711120,592654.750000,
0.038000,0.128170,1.008730,2.009770,235.552520,-364.711090,592680.062500,
0.040000,0.125610,1.168950,1.876460,235.559050,-364.711090,592705.312500,1.000000
0.042000,0.125610,1.318910,1.989260,235.567230,-364.711120,592730.625000,
