time,+/Nck/!SD/nckServoDataActCurr32 [u1; 1],+/Nck/!SD/nckServoDataActCurr32 [u1; 2],+/Nck/!SD/nckServoDataActCurr32 [u1; 4],+/Nck/!SD/nckServoDataActPos1stEnc32 [u1; 2],+/Nck/!SD/nckServoDataActPos1stEnc32 [u1; 3],+/Nck/!SD/nckServoDataActPos1stEnc32 [u1; 4],+/Channel/!RP/rpa [u1; 15],+/Nck/!SD/nckServoDataActCurr32 [u1; 3],+/Nck/!SD/nckServoDataActPos1stEnc32 [u1; 1]
0.106000,-0.461430,0.375550,1.732910,205.209030,-354.871610,24709.197270,,3.235110,
0.108000,-0.470400,0.407590,1.855960,205.239070,-354.871610,24734.492190,,3.236390,
0.110000,-0.465270,0.439640,1.937990,205.269120,-354.871610,24759.785160,,3.237670,
0.112000,-0.461430,0.475520,1.640630,205.299210,-354.871610,24785.078130,1.000000,3.238950,-564.704470
0.114000,-0.460140,0.511410,1.538090,205.329360,-354.871610,24810.376950,,3.240230,
0.116000,-0.455020,0.543460,1.671390,205.359590,-354.871610,24835.679690,,3.241520,
0.118000,-0.455020,0.569090,1.784180,205.389910,-354.871610,24860.974610,,3.244080,
0.120000,-0.462710,0.597290,1.814940,205.420350,-354.871610,24886.279300,1.000000,3.246640,-564.730710
0.122000,-0.458860,0.611390,1.589360,205.450930,-354.871610,24911.574220,,3.249210,
0.124000,-0.465270,0.617800,1.712400,205.481610,-354.871610,24936.869140,,3.251770,
0.126000,-0.471680,0.620360,1.548340,205.512410,-354.871580,24962.164060,,3.254330,
0.128000,-0.472960,0.634460,1.896970,205.543210,-354.871580,24987.455080,1.000000,3.259460,-564.756960
0.130000,-0.474240,0.671630,2.184080,205.573990,-354.871580,25012.755860,,3.263310,
0.132000,-0.476810,0.726750,2.204590,205.604710,-354.871550,25038.046880,,3.265870,
0.134000,-0.472960,0.771610,1.886720,205.635450,-354.871550,25063.343750,,3.269710,
0.136000,-0.460140,0.807500,1.773930,205.666240,-354.871520,25088.632810,1.000000,3.273560,-564.783200
0.138000,-0.471680,0.820310,2.009770,205.697170,-354.871520,25113.929690,,3.274840,
0.140000,-0.476810,0.812620,1.691890,205.728240,-354.871520,25139.220700,,3.277400,
0.142000,-0.466550,0.802370,1.732910,205.759380,-354.871520,25164.521480,,3.279970,
0.144000,-0.467830,0.784420,2.020020,205.790620,-354.871490,25189.818360,1.000000,3.279970,-564.809510
0.146000,-0.465270,0.772890,1.937990,205.821870,-354.871490,25215.121090,,3.283810,
0.148000,-0.466550,0.779300,1.948240,205.853040,-354.871490,25240.416020,,3.287660,
0.150000,-0.467830,0.778020,1.425290,205.884160,-354.871490,25265.714840,,3.291500,
0.152000,-0.465270,0.760070,1.732910,205.915340,-354.871490,25291.015630,1.000000,3.292790,-564.835820
0.154000,-0.467830,0.739560,1.702150,205.946490,-354.871460,25316.304690,,3.297910,
0.156000,-0.474240,0.716490,1.907230,205.977630,-354.871460,25341.601560,,3.301760,
0.158000,-0.481930,0.704960,2.040530,206.008730,-354.871460,25366.894530,,3.304320,
0.160000,-0.489620,0.683170,2.173830,206.039790,-354.871430,25392.185550,1.000000,3.305600,-564.862000
0.162000,-0.492190,0.656250,1.702150,206.070860,-354.871430,25417.482420,,3.306880,
0.164000,-0.493470,0.625490,1.784180,206.101940,-354.871430,25442.783200,,3.309450,
0.166000,-0.506290,0.583190,1.804690,206.133100,-354.871430,25468.070310,,3.309450,
0.168000,-0.512700,0.531920,1.927730,206.164280,-354.871400,25493.375000,1.000000,3.310730,-564.888060
0.170000,-0.517820,0.489620,1.743160,206.195430,-354.871400,25518.667970,,3.314580,
0.172000,-0.528080,0.458860,1.866210,206.226520,-354.871400,25543.960940,,3.313290,
0.174000,-0.529360,0.440920,1.650880,206.257490,-354.871400,25569.261720,,3.315860,
0.176000,-0.526790,0.425540,1.507320,206.288390,-354.871400,25594.558590,1.000000,3.319700,-564.914120
0.178000,-0.533200,0.408870,1.456050,206.319230,-354.871400,25619.855470,,3.323550,
0.180000,-0.531920,0.414000,1.773930,206.349950,-354.871370,25645.162110,,3.323550,
0.182000,-0.531920,0.442200,1.989260,206.380490,-354.871340,25670.449220,,3.326110,
0.184000,-0.546020,0.480650,2.143070,206.410930,-354.871340,25695.744140,1.000000,3.326110,-564.940370
0.186000,-0.547300,0.522950,1.896970,206.441350,-354.871340,25721.037110,,3.327390,
0.188000,-0.548580,0.549870,2.020020,206.471770,-354.871340,25746.330080,,3.328670,
0.190000,-0.554990,0.560120,1.763670,206.502290,-354.871340,25771.623050,,3.328670,
0.192000,-0.546020,0.552430,1.702150,206.532910,-354.871340,25796.919920,1.000000,3.329960,-564.966670
0.194000,-0.542180,0.529360,2.143070,206.563710,-354.871340,25822.216800,,3.331240,
0.196000,-0.544740,0.511410,2.163570,206.594560,-354.871340,25847.509770,,3.332520,
0.198000,-0.535770,0.516540,1.968750,206.625400,-354.871340,25872.806640,,3.333800,
0.200000,-0.534480,0.540890,1.691890,206.656200,-354.871340,25898.101560,1.000000,3.336360,-564.993160
0.202000,-0.530640,0.562680,1.671390,206.687010,-354.871340,25923.402340,,3.337650,
0.204000,-0.519100,0.578060,1.548340,206.717860,-354.871340,25948.699220,,3.341490,
0.206000,-0.522950,0.590880,1.538090,206.748730,-354.871340,25973.996090,,3.342770,
0.208000,-0.521670,0.606260,1.958500,206.779620,-354.871340,25999.296880,1.000000,3.345340,-565.019650
0.210000,-0.516540,0.634460,1.886720,206.810440,-354.871310,26024.587890,,3.349180,
0.212000,-0.526790,0.671630,1.979000,206.841230,-354.871310,26049.888670,,3.349180,
0.214000,-0.525510,0.698550,1.958500,206.872040,-354.871280,26075.173830,,3.353030,
0.216000,-0.525510,0.724180,1.784180,206.902850,-354.871280,26100.472660,1.000000,3.353030,-565.046020
0.218000,-0.534480,0.734440,1.814940,206.933730,-354.871280,26125.765630,,3.354310,
0.220000,-0.530640,0.728030,1.650880,206.964740,-354.871280,26151.062500,,3.356870,
0.222000,-0.522950,0.712650,2.030270,206.995820,-354.871280,26176.359380,,3.358150,
0.224000,-0.524230,0.695980,1.979000,207.026960,-354.871280,26201.646480,1.000000,3.358150,-565.072270
0.226000,-0.510130,0.675480,1.784180,207.058170,-354.871250,26226.947270,,3.362000,
0.228000,-0.499880,0.643430,1.661130,207.089400,-354.871280,26252.246090,,3.364560,
0.230000,-0.494750,0.592160,1.538090,207.120740,-354.871250,26277.544920,,3.367130,
0.232000,-0.485780,0.556270,1.712400,207.152050,-354.871250,26302.841800,1.000000,3.369690,-565.098630
0.234000,-0.485780,0.542180,1.712400,207.183240,-354.871250,26328.140630,,3.370970,
0.236000,-0.490910,0.543460,1.650880,207.214360,-354.871220,26353.441410,,3.373540,
0.238000,-0.488340,0.557560,1.743160,207.245330,-354.871190,26378.736330,,3.376100,
0.240000,-0.492190,0.574220,1.661130,207.276230,-354.871190,26404.031250,1.000000,3.377380,-565.124940
0.242000,-0.496030,0.575500,1.896970,207.307070,-354.871190,26429.322270,,3.379940,
0.244000,-0.489620,0.569090,1.958500,207.337940,-354.871190,26454.619140,,3.378660,
0.246000,-0.493470,0.553710,2.112300,207.368840,-354.871190,26479.910160,,3.379940,
0.248000,-0.497310,0.538330,1.855960,207.399770,-354.871190,26505.207030,1.000000,3.379940,-565.151120
