time,+/Nck/!SD/nckServoDataActCurr32 [u1; 1],+/Nck/!SD/nckServoDataActCurr32 [u1; 2],+/Nck/!SD/nckServoDataActCurr32 [u1; 4],+/Nck/!SD/nckServoDataActPos1stEnc32 [u1; 2],+/Nck/!SD/nckServoDataActPos1stEnc32 [u1; 3],+/Nck/!SD/nckServoDataActPos1stEnc32 [u1; 4],+/Channel/!RP/rpa [u1; 15],+/Nck/!SD/nckServoDataActCurr32 [u1; 3],+/Nck/!SD/nckServoDataActPos1stEnc32 [u1; 1]
0.106000,0.121770,0.435790,1.702150,205.223370,-334.872010,16141.796880,,3.255620,
0.108000,0.119200,0.461430,1.958500,205.254120,-334.872010,16167.105470,,3.259460,
0.110000,0.119200,0.488340,1.937990,205.284880,-334.872010,16192.398440,,3.256900,
0.112000,0.117920,0.519100,1.732910,205.315700,-334.871980,16217.701170,1.000000,3.259460,-579.502870
0.114000,0.116640,0.548580,1.579100,205.346560,-334.871980,16242.990230,,3.263310,
0.116000,0.115360,0.570370,1.353520,205.377560,-334.871980,16268.293950,,3.262020,
0.118000,0.114070,0.584470,1.497070,205.408660,-334.871980,16293.593750,,3.264590,
0.120000,0.112790,0.598570,2.081540,205.439850,-334.871980,16318.886720,1.000000,3.268430,-579.502930
0.122000,0.112790,0.610110,2.102050,205.471150,-334.871980,16344.175780,,3.268430,
0.124000,0.110230,0.615230,2.050780,205.502530,-334.871980,16369.473630,,3.272280,
0.126000,0.108950,0.620360,2.030270,205.534000,-334.871980,16394.765630,,3.277400,
0.128000,0.106380,0.648560,1.753420,205.565430,-334.871950,16420.060550,1.000000,3.278690,-579.502930
0.130000,0.107670,0.704960,1.691890,205.596760,-334.871950,16445.357420,,3.282530,
0.132000,0.106380,0.760070,1.968750,205.628100,-334.871950,16470.654300,,3.286380,
0.134000,0.107670,0.797240,2.163570,205.659500,-334.871920,16495.949220,,3.286380,
0.136000,0.106380,0.822880,1.784180,205.691020,-334.871920,16521.242190,1.000000,3.288940,-579.502930
0.138000,0.105100,0.820310,1.661130,205.722690,-334.871920,16546.541020,,3.292790,
0.140000,0.106380,0.810060,1.753420,205.754490,-334.871920,16571.839840,,3.292790,
0.142000,0.106380,0.799800,1.620120,205.786330,-334.871920,16597.136720,,3.296630,
0.144000,0.107670,0.801090,1.609860,205.818180,-334.871920,16622.437500,1.000000,3.299190,-579.502930
0.146000,0.108950,0.808780,2.009770,205.849960,-334.871920,16647.736330,,3.301760,
0.148000,0.108950,0.808780,1.804690,205.881790,-334.871890,16673.029300,,3.304320,
0.150000,0.110230,0.798520,1.937990,205.913600,-334.871890,16698.326170,,3.309450,
0.150000,0.110230,0.798520,1.937990,205.913600,-334.871890,16698.326170,,3.309450,
0.152000,0.111510,0.785710,1.753420,205.945420,-334.871890,16723.613280,1.000000,3.312010,-579.502930
0.154000,0.114070,0.776730,1.907230,205.977190,-334.871890,16748.916020,,3.315860,
0.156000,0.115360,0.767760,1.722660,206.009000,-334.871890,16774.207030,,3.319700,
