time,+/Nck/!SD/nckServoDataActCurr32 [u1; 1],+/Nck/!SD/nckServoDataActCurr32 [u1; 2],+/Nck/!SD/nckServoDataActCurr32 [u1; 4],+/Nck/!SD/nckServoDataActPos1stEnc32 [u1; 2],+/Nck/!SD/nckServoDataActPos1stEnc32 [u1; 3],+/Nck/!SD/nckServoDataActPos1stEnc32 [u1; 4],+/Channel/!RP/rpa [u1; 15]
0.000000,0.137150,-0.051270,1.333010,235.530620,-354.678410,13996.643550,1.000000
0.002000,0.137150,-0.047420,1.773930,235.530620,-354.678560,14021.942380,
0.004000,0.137150,-0.046140,1.466310,235.530620,-354.678650,14047.235350,
0.006000,0.137150,-0.043580,1.671390,235.530620,-354.678740,14072.533200,
0.008000,0.135860,-0.043580,2.009770,235.530620,-354.678860,14097.830080,1.000000
0.010000,0.138430,-0.043580,1.722660,235.530650,-354.678920,14123.132810,
0.012000,0.135860,-0.039730,1.968750,235.530650,-354.679020,14148.431640,
0.014000,0.137150,-0.039730,1.620120,235.530650,-354.679140,14173.714840,
0.016000,0.137150,-0.038450,1.804690,235.530650,-354.679230,14199.015630,1.000000
0.018000,0.135860,-0.017940,2.081540,235.530650,-354.679320,14224.298830,
0.020000,0.134580,0.358890,2.030270,235.531200,-354.679440,14249.598630,
0.022000,0.134580,0.364010,1.896970,235.532620,-354.679530,14274.894530,
0.024000,0.133300,0.306340,1.886720,235.534230,-354.679570,14300.190430,1.000000
0.026000,0.133300,0.374270,1.886720,235.535600,-354.679600,14325.486330,
0.028000,0.129460,0.483220,1.568850,235.537080,-354.679660,14350.779300,
0.030000,0.129460,0.554990,1.722660,235.539050,-354.679690,14376.077150,
0.032000,0.126890,0.621640,1.712400,235.541670,-354.679780,14401.369140,1.000000
0.034000,0.126890,0.712650,1.753420,235.545000,-354.679840,14426.674800,
0.036000,0.125610,0.845950,1.702150,235.549070,-354.679840,14451.969730,
0.038000,0.125610,1.016420,1.466310,235.554200,-354.679810,14477.268550,
0.040000,0.125610,1.189450,1.548340,235.560670,-354.679810,14502.564450,1.000000
0.042000,0.124330,1.344540,1.681640,235.568830,-354.679840,14527.859380,
0.044000,0.123050,1.471440,2.122560,235.578870,-354.679870,14553.153320,
0.046000,0.123050,1.575260,1.958500,235.590940,-354.679900,14578.443360,
0.048000,0.121770,1.650880,1.886720,235.605180,-354.679930,14603.744140,1.000000
0.050000,0.120480,1.705990,1.497070,235.621520,-354.679960,14629.035160,
0.052000,0.119200,1.743160,1.486820,235.639970,-354.679990,14654.333980,
0.054000,0.116640,1.752140,1.835450,235.660520,-354.680020,14679.624020,
0.056000,0.115360,1.726500,1.886720,235.683030,-354.680050,14704.921880,1.000000
0.058000,0.114070,1.664980,2.091800,235.707350,-354.680050,14730.222660,
0.060000,0.115360,1.580380,1.784180,235.733320,-354.680050,14755.516600,
0.062000,0.114070,1.481690,1.691890,235.760680,-354.680050,14780.819340,
0.064000,0.114070,1.381710,1.548340,235.789200,-354.680050,14806.110350,1.000000
0.066000,0.114070,1.288150,1.486820,235.818620,-354.680050,14831.413090,
0.068000,0.112790,1.204830,1.702150,235.848690,-354.680020,14856.707030,
0.070000,0.115360,1.125370,1.804690,235.879320,-354.680020,14882.006840,
0.072000,0.115360,1.040770,2.399410,235.910370,-354.680020,14907.297850,1.000000
0.074000,0.115360,0.972840,2.071290,235.941600,-354.680020,14932.585940,
0.076000,0.116640,0.908750,1.855960,235.972900,-354.680020,14957.882810,
0.078000,0.115360,0.856200,1.538090,236.004180,-354.679990,14983.174800,
0.080000,0.116640,0.798520,1.763670,236.035400,-354.679990,15008.475590,1.000000
0.082000,0.114070,0.754940,2.050780,236.066540,-354.679990,15033.767580,
0.084000,0.114070,0.712650,1.896970,236.097670,-354.679990,15059.067380,
0.086000,0.114070,0.667790,1.855960,236.128800,-354.679990,15084.360350,
0.088000,0.112790,0.626770,1.589360,236.159930,-354.679960,15109.656250,1.000000
0.090000,0.112790,0.592160,1.732910,236.191020,-354.679960,15134.957030,
0.092000,0.111510,0.563960,1.507320,236.222120,-354.679960,15160.246090,
