40,-75.246480,-75.241920,1.000000,-75.221720
46.124000,0.996090,-75.218260,-75.213250,1.000000,-75.199370
46.125000,0.986330,-75.218100,-75.213080,1.000000,-75.199200
46.126000,1.025390,-75.217930,-75.212920,1.000000,-75.199030
46.127000,1.025390,-75.217770,-75.212750,1.000000,-75.198870
46.128000,1.005860,-75.217590,-75.212580,1.000000,-75.198680
46.138000,1.005860,-75.215930,-75.210920,1.000000,-75.197120
46.139000,0.976560,-75.215760,-75.210750,1.000000,-75.196980
46.141000,0.986330,-75.215430,-75.210420,1.000000,-75.196720
46.142000,1.005860,-75.215280,-75.210250,1.000000,-75.196570
46.143000,1.015630,-75.215100,-75.210080,1.000000,-75.196420
46.144000,1.005860,-75.214930,-75.209920,1.000000,-75.196290
46.145000,0.996090,-75.214760,-75.209750,1.000000,-75.196150
46.146000,0.976560,-75.214580,-75.209580,1.000000,-75.196020
46.147000,0.986330,-75.214410,-75.209420,1.000000,-75.195880
46.148000,1.035160,-75.214240,-75.209250,1.000000,-75.195750
46.149000,0.986330,-75.214070,-75.209080,1.000000,-75.195610
46.150000,1.005860,-75.213910,-75.208920,1.000000,-75.195430
46.151000,0.996090,-75.213730,-75.208750,1.000000,-75.195300
46.152000,1.025390,-75.213570,-75.208580,1.000000,-75.195120
46.153000,0.966800,-75.213400,-75.208420,1.000000,-75.194960
46.154000,0.996090,-75.213240,-75.208250,1.000000,-75.194780
46.155000,1.015630,-75.213070,-75.208080,1.000000,-75.194590
46.156000,0.957030,-75.212910,-75.207920,1.000000,-75.194430
46.157000,1.015630,-75.212750,-75.207750,1.000000,-75.194230
46.158000,0.996090,-75.212580,-75.207580,1.000000,-75.194050
46.186000,0.986330,-75.207950,-75.202920,1.000000,-75.189830
46.187000,1.005860,-75.207770,-75.202750,1.000000,-75.189660
46.189000,0.976560,-75.207430,-75.202420,1.000000,-75.189350
46.190000,1.005860,-75.207280,-75.202250,1.000000,-75.189180
46.191000,1.005860,-75.207110,-75.202080,1.000000,-75.189000
46.192000,1.005860,-75.206950,-75.201920,1.000000,-75.188820
46.193000,1.005860,-75.206780,-75.201750,1.000000,-75.188640
46.194000,1.005860,-75.206610,-75.201580,1.000000,-75.188470
46.195000,1.005860,-75.206440,-75.201420,1.000000,-75.188330
46.196000,1.044920,-75.206270,-75.201250,1.000000,-75.188140
46.197000,0.976560,-75.206110,-75.201080,1.000000,-75.187980
46.198000,1.025390,-75.205940,-75.200920,1.000000,-75.187830
46.199000,0.996090,-75.205770,-75.200750,1.000000,-75.187670
46.200000,0.996090,-75.205610,-75.200580,1.000000,-75.187500
46.201000,1.005860,-75.205440,-75.200420,1.000000,-75.187350
46.202000,1.025390,-75.205270,-75.200250,1.000000,-75.187190
46.203000,0.996090,-75.205100,-75.200080,1.000000,-75.187040
46.204000,1.005860,-75.204930,-75.199920,1.000000,-75.186900
46.205000,0.976560,-75.204760,-75.199750,1.000000,-75.186760
46.206000,0.996090,-75.204600,-75.199580,1.000000,-75.186610
46.225000,1.025390,-75.201450,-75.196420,1.000000,-75.183720
46.226000,0.986330,-75.201270,-75.196250,1.000000,-75.183520
46.228000,1.015630,-75.200940,-75.195920,1.000000,-75.183180
46.229000,1.015630,-75.200780,-75.195750,1.000000,-75.183020
46.230000,0.966800,-75.200610,-75.195580,1.000000,-75.182860
46.231000,1.025390,-75.200450,-75.195420,1.000000,-75.182690
46.232000,1.005860,-75.200270,-75.195250,1.000000,-75.182520
46.233000,1.015630,-75.200100,-75.195080,1.000000,-75.182370
46.234000,0.986330,-75.199930,-75.194920,1.000000,-75.182210
46.235000,1.025390,-75.199750,-75.194750,1.000000,-75.182080
46.236000,1.025390,-75.199580,-75.194580,1.000000,-75.181930
46.237000,0.996090,-75.199420,-75.194420,1.000000,-75.181790
46.237000,0.996090,-75.199420,-75.194420,1.000000,-75.181790
46.238000,1.025390,-75.199250,-75.194250,1.000000,-75.181660
46.238000,1.025390,-75.199250,-75.194250,1.000000,-75.181660
46.239000,0.996090,-75.199080,-75.194080,1.000000,-75.181530
46.240000,1.015630,-75.198920,-75.193920,1.000000,-75.181370
