time,+/Nck/!SD/nckServoDataActCurr32 [u1; 1],+/Nck/!SD/nckServoDataActCurr32 [u1; 2],+/Nck/!SD/nckServoDataActCurr32 [u1; 4],+/Nck/!SD/nckServoDataActPos1stEnc32 [u1; 2],+/Nck/!SD/nckServoDataActPos1stEnc32 [u1; 3],+/Nck/!SD/nckServoDataActPos1stEnc32 [u1; 4],+/Channel/!RP/rpa [u1; 15]
0.000000,0.151250,-0.216610,1.497070,235.529850,-347.622410,1934615.750000,1.000000
0.002000,0.149960,-0.217900,1.773930,235.529850,-347.622590,1934641.125000,
0.004000,0.146120,-0.217900,1.640630,235.529850,-347.622710,1934666.500000,
0.006000,0.146120,-0.219180,1.866210,235.529850,-347.622860,1934691.750000,
0.008000,0.146120,-0.220460,1.609860,235.529850,-347.622990,1934717.125000,1.000000
0.010000,0.143550,-0.221740,1.722660,235.529850,-347.623080,1934742.375000,
0.012000,0.146120,-0.224300,1.620120,235.529830,-347.623140,1934767.750000,
0.014000,0.143550,-0.224300,1.958500,235.529830,-347.623260,1934792.875000,
0.016000,0.146120,-0.225590,2.009770,235.529830,-347.623380,1934818.250000,1.000000
0.018000,0.144840,-0.198670,1.948240,235.529830,-347.623440,1934843.500000,
0.020000,0.146120,0.171750,1.804690,235.530380,-347.623540,1934868.875000,
0.022000,0.146120,0.202510,1.804690,235.531650,-347.623630,1934894.125000,
0.024000,0.146120,0.212770,1.722660,235.532930,-347.623690,1934919.500000,1.000000
0.026000,0.146120,0.316590,1.784180,235.534060,-347.623690,1934944.625000,
0.028000,0.144840,0.439640,1.999510,235.535350,-347.623720,1934970.000000,
0.030000,0.144840,0.542180,1.937990,235.537120,-347.623780,1934995.250000,
0.032000,0.143550,0.640870,1.814940,235.539550,-347.623810,1935020.625000,1.000000
0.034000,0.144840,0.765200,1.876460,235.542720,-347.623840,1935045.875000,
0.036000,0.144840,0.911320,1.507320,235.546800,-347.623870,1935071.250000,
0.038000,0.143550,1.080510,1.548340,235.551970,-347.623840,1935096.375000,
0.040000,0.142270,1.245850,1.835450,235.558590,-347.623840,1935121.875000,1.000000
0.042000,0.140990,1.384280,2.266110,235.566970,-347.623870,1935147.000000,
0.044000,0.140990,1.502200,2.337890,235.577220,-347.623900,1935172.375000,
0.046000,0.140990,1.599610,2.091800,235.589550,-347.623930,1935197.625000,
0.048000,0.140990,1.662410,1.773930,235.603970,-347.623960,1935223.000000,1.000000
0.050000,0.140990,1.704710,1.630370,235.620530,-347.623960,1935248.125000,
0.052000,0.138430,1.730350,1.958500,235.639180,-347.623990,1935273.625000,
0.054000,0.139710,1.732910,1.866210,235.659850,-347.624020,1935298.750000,
0.056000,0.138430,1.700870,1.917480,235.682480,-347.624020,1935324.125000,1.000000
0.058000,0.138430,1.640630,2.020020,235.706880,-347.624050,1935349.375000,
0.060000,0.140990,1.547060,1.835450,235.732880,-347.624080,1935374.750000,
0.062000,0.139710,1.447080,1.691890,235.760250,-347.624080,1935399.875000,
0.064000,0.140990,1.339420,1.507320,235.788800,-347.624050,1935425.375000,1.000000
0.066000,0.142270,1.240720,1.620120,235.818220,-347.624050,1935450.750000,
0.068000,0.140990,1.159970,1.876460,235.848330,-347.624050,1935475.875000,
0.070000,0.143550,1.072810,2.040530,235.878980,-347.624050,1935501.250000,
0.072000,0.143550,0.977970,2.020020,235.910020,-347.624050,1935526.500000,1.000000
0.074000,0.144840,0.898500,1.979000,235.941270,-347.624050,1935551.875000,
0.076000,0.146120,0.828000,1.661130,235.972580,-347.624020,1935577.125000,
0.078000,0.144840,0.765200,1.620120,236.003850,-347.624020,1935602.500000,
0.080000,0.147400,0.701110,1.979000,236.035080,-347.624020,1935627.625000,1.000000
0.082000,0.146120,0.649840,1.927730,236.066190,-347.624020,1935653.125000,
0.084000,0.148680,0.602420,1.804690,236.097270,-347.624020,1935678.250000,
0.086000,0.151250,0.560120,1.763670,236.128330,-347.623990,1935703.625000,
0.088000,0.149960,0.517820,1.671390,236.159380,-347.623990,1935728.875000,1.000000
0.090000,0.152530,0.478090,1.486820,236.190430,-347.623990,1935754.250000,
0.092000,0.153810,0.451170,1.650880,236.221410,-347.623960,1935779.375000,
0.094000,0.155090,0.425540,1.907230,236.252380,-347.623960,1935804.875000,
0.096000,0.157650,0.397340,2.163570,236.283370,-347.623960,1935830.000000,1.000000
0.098000,0.157650,0.369140,1.855960,236.314350,-347.623960,1935855.375000,
0.100000,0.160220,0.360170,2.112300,236.345250,-347.623960,1935880.625000,
0.102000,0.160220,0.366580,2.030270,236.376100,-347.623960,1935906.000000,
0.104000,0.160220,0.392210,1.722660,236.406850,-347.623960,1935931.125000,1.000000
0.106000,0.161500,0.433230,1.835450,236.437500,-347.623960,1935956.625000,
