time,+/Nck/!SD/nckServoDataActCurr32 [u1; 1],+/Nck/!SD/nckServoDataActCurr32 [u1; 2],+/Nck/!SD/nckServoDataActCurr32 [u1; 4],+/Nck/!SD/nckServoDataActPos1stEnc32 [u1; 2],+/Nck/!SD/nckServoDataActPos1stEnc32 [u1; 3],+/Nck/!SD/nckServoDataActPos1stEnc32 [u1; 4],+/Channel/!RP/rpa [u1; 15]
0.000000,0.162780,-0.170470,1.886720,235.531010,-368.677950,1483812.875000,1.000000
0.002000,0.161500,-0.173030,2.235350,235.531010,-368.678070,1483838.125000,
0.004000,0.161500,-0.175600,2.040530,235.531010,-368.678160,1483863.500000,
0.006000,0.161500,-0.174320,1.691890,235.531010,-368.678280,1483888.750000,
0.008000,0.161500,-0.174320,1.599610,235.531010,-368.678410,1483914.000000,1.000000
0.010000,0.160220,-0.174320,1.722660,235.531010,-368.678500,1483939.375000,
0.012000,0.160220,-0.174320,1.886720,235.531010,-368.678620,1483964.625000,
0.014000,0.158940,-0.173030,1.876460,235.531010,-368.678740,1483990.000000,
0.016000,0.161500,-0.173030,1.722660,235.531010,-368.678860,1484015.250000,1.000000
0.018000,0.160220,-0.144840,1.681640,235.530980,-368.678990,1484040.625000,
0.020000,0.160220,0.225590,1.937990,235.531520,-368.679080,1484065.875000,
0.022000,0.157650,0.261470,1.681640,235.532810,-368.679140,1484091.125000,
0.024000,0.156370,0.258910,2.061040,235.534150,-368.679170,1484116.500000,1.000000
0.026000,0.157650,0.355040,2.050780,235.535320,-368.679200,1484141.750000,
0.028000,0.156370,0.479370,1.989260,235.536650,-368.679230,1484167.125000,
0.030000,0.157650,0.572940,1.804690,235.538500,-368.679260,1484192.375000,
0.032000,0.155090,0.663940,1.620120,235.541000,-368.679290,1484217.625000,1.000000
0.034000,0.153810,0.769040,1.650880,235.544280,-368.679320,1484243.000000,
0.036000,0.153810,0.907470,1.415040,235.548400,-368.679320,1484268.250000,
0.038000,0.153810,1.070250,2.020020,235.553650,-368.679320,1484293.500000,
0.040000,0.155090,1.226620,1.968750,235.560300,-368.679320,1484318.875000,1.000000
0.042000,0.155090,1.372740,1.876460,235.568620,-368.679350,1484344.125000,
0.044000,0.156370,1.491940,1.548340,235.578860,-368.679380,1484369.375000,
0.046000,0.155090,1.582950,1.671390,235.591090,-368.679410,1484394.750000,
0.048000,0.155090,1.648320,1.896970,235.605450,-368.679440,1484420.000000,1.000000
0.050000,0.153810,1.694460,1.968750,235.621950,-368.679470,1484445.250000,
0.052000,0.152530,1.721370,2.071290,235.640550,-368.679500,1484470.625000,
0.054000,0.153810,1.722660,2.071290,235.661190,-368.679500,1484495.875000,
0.056000,0.153810,1.680360,1.968750,235.683820,-368.679530,1484521.125000,1.000000
0.058000,0.153810,1.603450,1.855960,235.708280,-368.679530,1484546.500000,
0.060000,0.153810,1.504760,1.743160,235.734300,-368.679530,1484571.750000,
0.062000,0.153810,1.398380,1.927730,235.761700,-368.679530,1484597.000000,
0.064000,0.153810,1.286870,1.907230,235.790220,-368.679530,1484622.375000,1.000000
0.066000,0.155090,1.188170,1.671390,235.819630,-368.679530,1484647.625000,
0.068000,0.157650,1.113830,1.681640,235.849660,-368.679530,1484672.875000,
