time,+/Nck/!SD/nckServoDataActCurr32 [u1; 1],+/Nck/!SD/nckServoDataActCurr32 [u1; 2],+/Nck/!SD/nckServoDataActCurr32 [u1; 4],+/Nck/!SD/nckServoDataActPos1stEnc32 [u1; 2],+/Nck/!SD/nckServoDataActPos1stEnc32 [u1; 3],+/Nck/!SD/nckServoDataActPos1stEnc32 [u1; 4],+/Channel/!RP/rpa [u1; 15]
0.000000,0.144840,-0.110230,1.814940,235.527970,-342.029660,253186.796880,1.000000
0.002000,0.144840,-0.107670,2.184080,235.527970,-342.029790,253212.078130,
0.004000,0.144840,-0.103820,1.896970,235.527970,-342.029910,253237.375000,
0.006000,0.144840,-0.099980,1.753420,235.528000,-342.030030,253262.671880,
0.008000,0.144840,-0.098690,1.825200,235.528000,-342.030120,253287.968750,1.000000
0.010000,0.144840,-0.094850,1.743160,235.528000,-342.030210,253313.250000,
0.012000,0.143550,-0.093570,1.866210,235.528000,-342.030300,253338.578130,
0.014000,0.143550,-0.092290,2.112300,235.528000,-342.030430,253363.859380,
0.016000,0.142270,-0.089720,1.886720,235.528030,-342.030520,253389.156250,1.000000
0.018000,0.140990,-0.065370,1.722660,235.528030,-342.030640,253414.453130,
0.020000,0.139710,0.306340,1.466310,235.528580,-342.030760,253439.750000,
0.022000,0.138430,0.326840,1.568850,235.529920,-342.030850,253465.031250,
0.024000,0.135860,0.294800,1.814940,235.531420,-342.030910,253490.359380,1.000000
0.026000,0.134580,0.370420,1.702150,235.532730,-342.030910,253515.640630,
0.028000,0.133300,0.480650,1.814940,235.534180,-342.030980,253540.937500,
0.030000,0.132020,0.570370,1.691890,235.536100,-342.031040,253566.234380,
0.032000,0.129460,0.644710,2.112300,235.538650,-342.031100,253591.531250,1.000000
0.034000,0.128170,0.747250,1.763670,235.541930,-342.031160,253616.812500,
0.036000,0.124330,0.874150,1.968750,235.546080,-342.031160,253642.109380,
0.038000,0.123050,1.030520,1.958500,235.551330,-342.031130,253667.406250,
0.040000,0.123050,1.185610,1.927730,235.557950,-342.031130,253692.703130,1.000000
0.042000,0.120480,1.325320,1.958500,235.566190,-342.031160,253717.984380,
0.044000,0.120480,1.452210,1.732910,235.576320,-342.031190,253743.281250,
0.046000,0.116640,1.553470,1.917480,235.588470,-342.031220,253768.609380,
0.048000,0.115360,1.622680,1.650880,235.602750,-342.031250,253793.890630,1.000000
0.050000,0.111510,1.670100,2.020020,235.619160,-342.031310,253819.187500,
0.052000,0.110230,1.707280,1.968750,235.637620,-342.031310,253844.484380,
0.054000,0.110230,1.722660,1.773930,235.658130,-342.031340,253869.796880,
0.056000,0.107670,1.700870,1.671390,235.680600,-342.031370,253895.062500,1.000000
0.058000,0.106380,1.636780,1.712400,235.704930,-342.031400,253920.390630,
0.060000,0.106380,1.549620,2.122560,235.730850,-342.031400,253945.671880,
0.062000,0.105100,1.454770,1.979000,235.758180,-342.031400,253970.968750,
0.064000,0.107670,1.349670,2.255860,235.786650,-342.031400,253996.265630,1.000000
0.066000,0.106380,1.253540,1.804690,235.816070,-342.031400,254021.562500,
0.068000,0.107670,1.167660,1.999510,235.846210,-342.031400,254046.843750,
0.070000,0.107670,1.081790,1.599610,235.876850,-342.031400,254072.140630,
0.072000,0.107670,0.997190,1.732910,235.907870,-342.031400,254097.437500,1.000000
0.074000,0.108950,0.934390,1.743160,235.939060,-342.031370,254122.718750,
0.076000,0.108950,0.875430,1.773930,235.970310,-342.031370,254148.046880,
0.078000,0.110230,0.829280,1.907230,236.001500,-342.031370,254173.343750,
0.080000,0.110230,0.785710,1.917480,236.032670,-342.031370,254198.625000,1.000000
0.082000,0.110230,0.756230,1.702150,236.063720,-342.031370,254223.921880,
0.084000,0.112790,0.722900,1.538090,236.094800,-342.031370,254249.218750,
0.086000,0.111510,0.680600,1.640630,236.125900,-342.031340,254274.515630,
0.088000,0.112790,0.639590,2.153320,236.157030,-342.031340,254299.796880,1.000000
0.090000,0.114070,0.597290,1.876460,236.188170,-342.031310,254325.093750,
0.092000,0.115360,0.563960,2.255860,236.219330,-342.031310,254350.390630,
0.094000,0.117920,0.530640,1.866210,236.250470,-342.031310,254375.703130,
0.096000,0.117920,0.483220,2.061040,236.281680,-342.031310,254401.000000,1.000000
0.098000,0.117920,0.431950,1.661130,236.312880,-342.031310,254426.296880,
0.100000,0.119200,0.402470,1.927730,236.343990,-342.031310,254451.578130,
0.102000,0.119200,0.398620,1.845700,236.375000,-342.031310,254476.875000,
0.104000,0.120480,0.419130,2.030270,236.405820,-342.031310,254502.171880,1.000000
0.106000,0.119200,0.446040,1.691890,236.436600,-342.031310,254527.468750,
0.108000,0.120480,0.465270,1.630370,236.467350,-342.031310,254552.781250,
0.110000,0.117920,0.474240,1.886720,236.498120,-342.031310,254578.078130,
0.112000,0.120480,0.469120,1.517580,236.529050,-342.031310,254603.359380,1.000000
0.114000,0.119200,0.453740,1.886720,236.560100,-342.031280,254628.656250,
