time,+/Nck/!SD/nckServoDataActCurr32 [u1; 1],+/Nck/!SD/nckServoDataActCurr32 [u1; 2],+/Nck/!SD/nckServoDataActCurr32 [u1; 4],+/Nck/!SD/nckServoDataActPos1stEnc32 [u1; 2],+/Nck/!SD/nckServoDataActPos1stEnc32 [u1; 3],+/Nck/!SD/nckServoDataActPos1stEnc32 [u1; 4],+/Channel/!RP/rpa [u1; 15]
0.000000,0.197390,-0.149960,1.784180,235.530120,-367.621340,1462099.375000,1.000000
0.002000,0.197390,-0.147400,1.917480,235.530150,-367.621490,1462124.625000,
0.004000,0.197390,-0.147400,2.040530,235.530150,-367.621610,1462150.000000,
0.006000,0.197390,-0.146120,2.184080,235.530150,-367.621770,1462175.250000,
0.008000,0.198670,-0.146120,1.773930,235.530150,-367.621890,1462200.500000,1.000000
0.010000,0.198670,-0.146120,2.040530,235.530150,-367.621980,1462225.875000,
0.012000,0.198670,-0.144840,1.794430,235.530150,-367.622070,1462251.125000,
0.014000,0.198670,-0.144840,1.650880,235.530150,-367.622160,1462276.375000,
0.016000,0.198670,-0.146120,1.958500,235.530150,-367.622280,1462301.750000,1.000000
0.018000,0.198670,-0.119200,1.876460,235.530150,-367.622380,1462327.125000,
0.020000,0.199950,0.252500,1.876460,235.530700,-367.622470,1462352.375000,
0.022000,0.199950,0.275570,1.599610,235.532000,-367.622560,1462377.625000,
0.024000,0.202510,0.258910,1.712400,235.533430,-367.622620,1462403.000000,1.000000
0.026000,0.202510,0.346070,1.763670,235.534650,-367.622620,1462428.250000,
0.028000,0.203800,0.461430,1.763670,235.536000,-367.622650,1462453.500000,
0.030000,0.203800,0.553710,2.081540,235.537860,-367.622710,1462478.875000,
0.032000,0.205080,0.634460,2.214840,235.540340,-367.622740,1462504.125000,1.000000
0.034000,0.205080,0.745970,1.784180,235.543580,-367.622800,1462529.375000,
0.036000,0.205080,0.884400,1.630370,235.547670,-367.622800,1462554.750000,
0.038000,0.205080,1.048460,1.722660,235.552860,-367.622770,1462580.000000,
0.040000,0.202510,1.212520,1.917480,235.559450,-367.622770,1462605.250000,1.000000
0.042000,0.202510,1.353520,1.794430,235.567700,-367.622800,1462630.625000,
0.044000,0.202510,1.481690,1.876460,235.577850,-367.622830,1462655.875000,
0.046000,0.202510,1.589360,1.620120,235.590030,-367.622860,1462681.250000,
0.048000,0.202510,1.664980,1.507320,235.604320,-367.622920,1462706.500000,1.000000
0.050000,0.202510,1.716250,1.568850,235.620740,-367.622960,1462731.750000,
0.052000,0.201230,1.752140,1.476560,235.639280,-367.622990,1462757.125000,
0.054000,0.201230,1.762390,1.855960,235.659880,-367.622990,1462782.375000,
0.056000,0.201230,1.736760,1.948240,235.682420,-367.622990,1462807.625000,1.000000
0.058000,0.199950,1.676510,2.102050,235.706770,-367.623020,1462833.000000,
0.060000,0.199950,1.589360,1.876460,235.732760,-367.623020,1462858.250000,
0.062000,0.197390,1.490660,1.825200,235.760130,-367.623020,1462883.500000,
0.064000,0.198670,1.381710,1.640630,235.788680,-367.622990,1462908.875000,1.000000
0.066000,0.197390,1.285580,1.968750,235.818130,-367.622990,1462934.125000,
0.068000,0.197390,1.204830,2.143070,235.848250,-367.622990,1462959.375000,
0.070000,0.197390,1.118960,2.030270,235.878910,-367.622990,1462984.750000,
0.072000,0.197390,1.026670,1.814940,235.909940,-367.622990,1463010.000000,1.000000
0.074000,0.196110,0.951050,1.661130,235.941190,-367.622990,1463035.250000,
0.076000,0.196110,0.886960,1.732910,235.972500,-367.622990,1463060.625000,
0.078000,0.194820,0.835690,1.845700,236.003750,-367.622990,1463086.000000,
0.080000,0.196110,0.778020,1.876460,236.034940,-367.622990,1463111.250000,1.000000
0.082000,0.196110,0.734440,1.835450,236.066060,-367.622990,1463136.625000,
0.084000,0.197390,0.693420,1.835450,236.097120,-367.622990,1463161.875000,
0.086000,0.198670,0.646000,1.979000,236.128220,-367.622960,1463187.125000,
0.088000,0.199950,0.596010,1.855960,236.159350,-367.622960,1463212.500000,1.000000
0.090000,0.198670,0.543460,2.030270,236.190510,-367.622920,1463237.750000,
0.092000,0.197390,0.503720,1.958500,236.221620,-367.622920,1463263.000000,
0.094000,0.197390,0.469120,1.896970,236.252700,-367.622920,1463288.375000,
0.096000,0.199950,0.426820,1.907230,236.283770,-367.622920,1463313.625000,1.000000
0.098000,0.198670,0.387080,1.527830,236.314820,-367.622920,1463338.875000,
0.100000,0.198670,0.371700,1.507320,236.345790,-367.622920,1463364.250000,
0.102000,0.196110,0.380680,1.599610,236.376620,-367.622890,1463389.500000,
0.104000,0.196110,0.412720,1.907230,236.407300,-367.622890,1463414.750000,1.000000
0.106000,0.196110,0.460140,1.937990,236.437880,-367.622890,1463440.125000,
0.108000,0.197390,0.499880,1.804690,236.468510,-367.622890,1463465.375000,
0.110000,0.197390,0.515260,1.620120,236.499210,-367.622860,1463490.625000,
0.112000,0.197390,0.511410,1.568850,236.530080,-367.622860,1463516.000000,1.000000
0.114000,0.196110,0.494750,1.712400,236.561160,-367.622860,1463541.250000,
0.116000,0.196110,0.487060,1.968750,236.592300,-367.622860,1463566.500000,
0.118000,0.194820,0.501160,2.091800,236.623500,-367.622860,1463591.875000,
0.120000,0.194820,0.522950,2.102050,236.654750,-367.622860,1463617.125000,1.000000
0.122000,0.193540,0.542180,1.979000,236.686000,-367.622860,1463642.375000,
0.124000,0.193540,0.566530,1.753420,236.717330,-367.622860,1463667.750000,
0.126000,0.194820,0.598570,1.722660,236.748630,-367.622860,1463693.000000,
0.128000,0.193540,0.643430,1.712400,236.779910,-367.622860,1463718.250000,1.000000
0.130000,0.192260,0.702390,1.855960,236.811130,-367.622860,1463743.625000,
0.132000,0.190980,0.760070,1.927730,236.842380,-367.622830,1463768.875000,
0.134000,0.190980,0.804930,1.866210,236.873700,-367.622830,1463794.125000,
0.136000,0.190980,0.839540,1.712400,236.905110,-367.622830,1463819.500000,1.000000
0.138000,0.190980,0.853640,1.681640,236.936630,-367.622830,1463844.750000,
0.140000,0.189700,0.851070,1.743160,236.968320,-367.622830,1463870.125000,
0.142000,0.190980,0.835690,1.876460,237.000170,-367.622800,1463895.375000,
0.144000,0.189700,0.822880,2.153320,237.032040,-367.622800,1463920.750000,1.000000
0.146000,0.189700,0.804930,2.112300,237.064000,-367.622800,1463946.000000,
0.148000,0.189700,0.763920,1.886720,237.096050,-367.622800,1463971.375000,
0.150000,0.189700,0.721620,1.722660,237.128140,-367.622800,1463996.625000,
0.152000,0.188420,0.697270,1.896970,237.160170,-367.622770,1464021.875000,1.000000
0.154000,0.188420,0.694700,1.907230,237.192090,-367.622770,1464047.250000,
0.156000,0.189700,0.704960,1.773930,237.223910,-367.622740,1464072.500000,
0.158000,0.190980,0.722900,1.917480,237.255630,-367.622740,1464097.750000,
0.160000,0.190980,0.717770,1.650880,237.287320,-367.622740,1464123.125000,1.000000
0.162000,0.192260,0.706240,1.620120,237.319000,-367.622710,1464148.375000,
0.164000,0.193540,0.687010,1.507320,237.350680,-367.622710,1464173.625000,
0.166000,0.196110,0.651120,1.476560,237.382450,-367.622710,1464199.000000,
0.168000,0.196110,0.633180,1.876460,237.414120,-367.622710,1464224.250000,1.000000
0.170000,0.197390,0.635740,1.896970,237.445720,-367.622710,1464249.500000,
0.172000,0.199950,0.629330,2.030270,237.477290,-367.622710,1464274.875000,
0.174000,0.201230,0.611390,1.937990,237.508900,-367.622710,1464300.125000,
0.176000,0.202510,0.569090,1.722660,237.540540,-367.622710,1464325.375000,1.000000
0.178000,0.203800,0.538330,1.609860,237.572200,-367.622710,1464350.750000,
0.180000,0.205080,0.510130,1.712400,237.603820,-367.622680,1464376.000000,
0.182000,0.205080,0.485780,2.173830,237.635450,-367.622650,1464401.250000,
0.184000,0.206360,0.478090,1.896970,237.666980,-367.622650,1464426.625000,1.000000
0.186000,0.206360,0.481930,1.876460,237.698460,-367.622650,1464451.875000,
0.188000,0.207640,0.483220,1.661130,237.729870,-367.622650,1464477.125000,
0.190000,0.207640,0.478090,1.527830,237.761320,-367.622650,1464502.500000,
0.192000,0.207640,0.471680,1.712400,237.792770,-367.622650,1464527.750000,1.000000
0.194000,0.208920,0.479370,1.804690,237.824170,-367.622650,1464553.000000,
0.196000,0.208920,0.506290,1.825200,237.855500,-367.622620,1464578.375000,
0.198000,0.207640,0.535770,1.927730,237.886800,-367.622620,1464603.625000,
0.200000,0.206360,0.561400,2.020020,237.918120,-367.622620,1464629.000000,1.000000
0.202000,0.205080,0.581910,2.020020,237.949480,-367.622620,1464654.250000,
0.204000,0.205080,0.606260,1.743160,237.980850,-367.622620,1464679.500000,
