time,+/Nck/!SD/nckServoDataActCurr32 [u1; 1],+/Nck/!SD/nckServoDataActCurr32 [u1; 2],+/Nck/!SD/nckServoDataActCurr32 [u1; 4],+/Nck/!SD/nckServoDataActPos1stEnc32 [u1; 2],+/Nck/!SD/nckServoDataActPos1stEnc32 [u1; 3],+/Nck/!SD/nckServoDataActPos1stEnc32 [u1; 4],+/Channel/!RP/rpa [u1; 15]
0.000000,0.123050,-0.076900,1.722660,235.531600,-368.026210,762948.062500,1.000000
0.002000,0.123050,-0.073060,1.804690,235.531630,-368.026370,762973.312500,
0.004000,0.120480,-0.069210,2.153320,235.531630,-368.026520,762998.625000,
0.006000,0.121770,-0.066650,2.204590,235.531630,-368.026640,763023.937500,
0.008000,0.120480,-0.065370,2.020020,235.531650,-368.026760,763049.187500,1.000000
0.010000,0.121770,-0.066650,1.589360,235.531650,-368.026890,763074.500000,
0.012000,0.120480,-0.064090,1.937990,235.531680,-368.027040,763099.812500,
0.014000,0.119200,-0.064090,1.979000,235.531680,-368.027160,763125.125000,
0.016000,0.120480,-0.065370,1.855960,235.531680,-368.027280,763150.375000,1.000000
0.018000,0.120480,-0.044860,2.143070,235.531680,-368.027370,763175.687500,
0.020000,0.120480,0.326840,1.784180,235.532230,-368.027470,763201.000000,
0.022000,0.121770,0.330690,1.609860,235.533650,-368.027530,763226.250000,
0.024000,0.121770,0.275570,1.548340,235.535200,-368.027590,763251.562500,1.000000
0.026000,0.123050,0.343510,1.650880,235.536580,-368.027620,763276.875000,
0.028000,0.121770,0.443480,1.825200,235.538070,-368.027680,763302.125000,
0.030000,0.124330,0.512700,1.958500,235.540050,-368.027710,763327.500000,
0.032000,0.126890,0.581910,2.276370,235.542600,-368.027860,763352.750000,1.000000
0.034000,0.128170,0.689580,1.845700,235.545820,-368.027920,763378.062500,
0.036000,0.129460,0.831850,1.937990,235.549850,-368.027950,763403.375000,
0.038000,0.129460,1.001040,1.404790,235.554950,-368.027920,763428.687500,
0.040000,0.132020,1.170230,1.917480,235.561400,-368.027890,763453.937500,1.000000
0.042000,0.130740,1.327880,1.979000,235.569520,-368.027920,763479.250000,
0.044000,0.133300,1.472720,2.030270,235.579500,-368.027950,763504.562500,
0.046000,0.134580,1.588070,1.804690,235.591510,-368.028020,763529.812500,
0.048000,0.134580,1.668820,1.609860,235.605680,-368.028020,763555.125000,1.000000
0.050000,0.134580,1.725220,1.722660,235.622020,-368.028050,763580.437500,
0.052000,0.134580,1.757260,1.435550,235.640520,-368.028110,763605.687500,
0.054000,0.134580,1.770080,1.937990,235.661100,-368.028140,763631.062500,
0.056000,0.134580,1.749570,1.835450,235.683620,-368.028140,763656.312500,1.000000
0.058000,0.134580,1.690610,1.948240,235.707980,-368.028170,763681.625000,
0.060000,0.134580,1.604740,1.989260,235.733980,-368.028200,763706.875000,
0.062000,0.135860,1.506040,1.886720,235.761370,-368.028170,763732.250000,
0.064000,0.134580,1.399660,1.958500,235.789950,-368.028170,763757.500000,1.000000
0.066000,0.134580,1.307370,1.753420,235.819430,-368.028170,763782.812500,
0.068000,0.134580,1.221500,2.153320,235.849590,-368.028170,763808.125000,
0.070000,0.134580,1.133060,2.020020,235.880330,-368.028140,763833.375000,
0.072000,0.134580,1.044620,1.927730,235.911450,-368.028140,763858.687500,1.000000
0.074000,0.132020,0.970280,1.568850,235.942720,-368.028140,763884.000000,
0.076000,0.132020,0.906190,1.589360,235.974080,-368.028140,763909.250000,
0.078000,0.129460,0.853640,1.855960,236.005330,-368.028140,763934.562500,
0.080000,0.129460,0.802370,2.071290,236.036540,-368.028140,763959.875000,1.000000
0.082000,0.126890,0.762630,1.784180,236.067670,-368.028140,763985.125000,
0.084000,0.126890,0.719060,1.763670,236.098770,-368.028140,764010.437500,
0.086000,0.124330,0.665220,1.743160,236.129940,-368.028140,764035.750000,
0.088000,0.124330,0.611390,1.825200,236.161120,-368.028110,764061.000000,1.000000
0.090000,0.123050,0.563960,1.794430,236.192310,-368.028080,764086.312500,
0.092000,0.121770,0.525510,2.194340,236.223420,-368.028080,764111.625000,
0.094000,0.120480,0.484500,2.009770,236.254580,-368.028080,764136.937500,
0.096000,0.120480,0.434510,2.009770,236.285720,-368.028080,764162.250000,1.000000
0.098000,0.117920,0.380680,1.763670,236.316890,-368.028080,764187.562500,
0.100000,0.117920,0.343510,1.814940,236.347980,-368.028080,764212.812500,
0.102000,0.115360,0.334530,1.640630,236.378950,-368.028050,764238.125000,
0.104000,0.112790,0.349910,1.804690,236.409730,-368.028050,764263.437500,1.000000
0.106000,0.112790,0.381960,1.814940,236.440370,-368.028050,764288.687500,
0.108000,0.110230,0.416560,1.732910,236.470980,-368.028050,764314.000000,
0.110000,0.110230,0.438350,1.804690,236.501620,-368.028050,764339.312500,
0.112000,0.108950,0.446040,1.415040,236.532380,-368.028020,764364.625000,1.000000
0.114000,0.107670,0.440920,1.876460,236.563320,-368.028020,764389.875000,
0.116000,0.107670,0.438350,1.937990,236.594410,-368.028020,764415.187500,
0.118000,0.106380,0.452450,2.061040,236.625500,-368.028020,764440.500000,
0.120000,0.106380,0.471680,2.204590,236.656690,-368.028020,764465.750000,1.000000
0.122000,0.105100,0.488340,1.999510,236.687940,-368.028020,764491.062500,
0.124000,0.103820,0.510130,1.753420,236.719220,-368.028020,764516.375000,
0.126000,0.103820,0.542180,1.814940,236.750520,-368.028020,764541.687500,
0.128000,0.102540,0.580630,2.122560,236.781800,-368.028020,764567.000000,1.000000
0.130000,0.102540,0.634460,1.907230,236.813020,-368.028020,764592.312500,
0.132000,0.101260,0.695980,2.009770,236.844250,-368.027980,764617.562500,
0.134000,0.101260,0.748540,1.825200,236.875470,-368.027980,764642.875000,
0.136000,0.102540,0.786990,1.589360,236.906830,-368.027980,764668.187500,1.000000
0.138000,0.101260,0.801090,1.753420,236.938320,-368.027980,764693.437500,
0.140000,0.103820,0.795960,1.630370,236.970030,-368.027980,764718.750000,
0.142000,0.102540,0.792110,2.020020,237.001770,-368.027950,764744.062500,
0.144000,0.105100,0.799800,2.030270,237.033600,-368.027950,764769.312500,1.000000
0.146000,0.106380,0.792110,2.245610,237.065480,-368.027950,764794.625000,
0.148000,0.106380,0.762630,1.937990,237.097500,-368.027950,764819.937500,
0.150000,0.107670,0.734440,1.855960,237.129530,-368.027950,764845.187500,
0.152000,0.107670,0.722900,1.702150,237.161530,-368.027950,764870.500000,1.000000
0.154000,0.107670,0.734440,1.732910,237.193420,-368.027920,764895.812500,
