time,+/Nck/!SD/nckServoDataActCurr32 [u1; 1],+/Nck/!SD/nckServoDataActCurr32 [u1; 2],+/Nck/!SD/nckServoDataActCurr32 [u1; 4],+/Nck/!SD/nckServoDataActPos1stEnc32 [u1; 2],+/Nck/!SD/nckServoDataActPos1stEnc32 [u1; 3],+/Nck/!SD/nckServoDataActPos1stEnc32 [u1; 4],+/Channel/!RP/rpa [u1; 15]
0.000000,0.176880,-0.190980,1.732910,235.528310,-361.621800,1739846.000000,1.000000
0.002000,0.174320,-0.189700,1.773930,235.528310,-361.621980,1739871.250000,
0.004000,0.173030,-0.187130,1.732910,235.528320,-361.622130,1739896.625000,
0.006000,0.171750,-0.184570,2.009770,235.528320,-361.622280,1739921.875000,
0.008000,0.171750,-0.182010,1.855960,235.528320,-361.622410,1739947.250000,1.000000
0.010000,0.173030,-0.180730,1.743160,235.528320,-361.622530,1739972.625000,
0.012000,0.173030,-0.179440,1.753420,235.528350,-361.622680,1739997.750000,
0.014000,0.173030,-0.180730,1.948240,235.528350,-361.622800,1740023.250000,
0.016000,0.173030,-0.182010,1.948240,235.528380,-361.622920,1740048.375000,1.000000
0.018000,0.173030,-0.153810,2.009770,235.528380,-361.623080,1740073.750000,
0.020000,0.174320,0.216610,2.081540,235.528930,-361.623170,1740099.000000,
0.022000,0.174320,0.224300,2.009770,235.530300,-361.623260,1740124.375000,
0.024000,0.175600,0.205080,1.753420,235.531720,-361.623320,1740149.500000,1.000000
0.026000,0.174320,0.284550,1.589360,235.532970,-361.623380,1740175.000000,
0.028000,0.175600,0.389650,1.445800,235.534380,-361.623410,1740200.125000,
0.030000,0.176880,0.467830,1.732910,235.536270,-361.623470,1740225.500000,
0.032000,0.175600,0.549870,1.640630,235.538770,-361.623570,1740250.750000,1.000000
0.034000,0.176880,0.666500,2.061040,235.541930,-361.623660,1740276.125000,
0.036000,0.179440,0.813900,1.630370,235.545940,-361.623660,1740301.250000,
0.038000,0.182010,0.983090,1.661130,235.551060,-361.623630,1740326.750000,
0.040000,0.182010,1.153560,1.568850,235.557530,-361.623660,1740351.875000,1.000000
0.042000,0.182010,1.316350,1.814940,235.565670,-361.623690,1740377.250000,
0.044000,0.183290,1.454770,2.030270,235.575700,-361.623690,1740402.500000,
0.046000,0.185850,1.563720,2.112300,235.587800,-361.623720,1740427.875000,
0.048000,0.185850,1.641910,2.040530,235.602050,-361.623780,1740453.125000,1.000000
0.050000,0.188420,1.698300,1.794430,235.618470,-361.623810,1740478.500000,
0.052000,0.187130,1.738040,1.866210,235.636980,-361.623810,1740503.625000,
0.054000,0.187130,1.753420,1.691890,235.657580,-361.623870,1740529.000000,
0.056000,0.185850,1.725220,1.722660,235.680180,-361.623900,1740554.250000,1.000000
0.058000,0.185850,1.658570,2.061040,235.704610,-361.623930,1740579.625000,
0.060000,0.185850,1.566280,1.876460,235.730650,-361.623930,1740604.875000,
0.062000,0.185850,1.471440,1.835450,235.758060,-361.623930,1740630.250000,
0.064000,0.185850,1.377870,1.681640,235.786610,-361.623930,1740655.375000,1.000000
0.066000,0.185850,1.291990,1.712400,235.816020,-361.623930,1740680.750000,
0.068000,0.185850,1.213810,1.609860,235.846150,-361.623930,1740706.000000,
0.070000,0.187130,1.134340,2.112300,235.876830,-361.623930,1740731.375000,
0.072000,0.185850,1.052310,2.132810,235.907900,-361.623930,1740756.625000,1.000000
0.074000,0.185850,0.980530,2.122560,235.939180,-361.623900,1740782.000000,
0.076000,0.187130,0.915160,1.794430,235.970520,-361.623900,1740807.125000,
0.078000,0.185850,0.862610,1.589360,236.001850,-361.623870,1740832.625000,
0.080000,0.184570,0.801090,1.784180,236.033130,-361.623870,1740858.000000,1.000000
0.082000,0.183290,0.751100,1.794430,236.064350,-361.623870,1740883.125000,
0.084000,0.182010,0.699830,2.122560,236.095520,-361.623870,1740908.500000,
0.086000,0.180730,0.640870,1.896970,236.126750,-361.623870,1740933.750000,
0.088000,0.179440,0.580630,1.630370,236.157940,-361.623840,1740959.125000,1.000000
0.090000,0.176880,0.528080,1.558590,236.189150,-361.623840,1740984.375000,
0.092000,0.176880,0.493470,1.507320,236.220310,-361.623810,1741009.750000,
0.094000,0.174320,0.463990,1.558590,236.251340,-361.623810,1741034.875000,
0.096000,0.173030,0.422970,1.702150,236.282460,-361.623810,1741060.250000,1.000000
0.098000,0.171750,0.376830,2.081540,236.313520,-361.623810,1741085.500000,
0.100000,0.170470,0.346070,2.102050,236.344540,-361.623810,1741110.875000,
0.102000,0.167910,0.338380,1.784180,236.375470,-361.623810,1741136.125000,
0.104000,0.166630,0.348630,1.948240,236.406280,-361.623810,1741161.500000,1.000000
0.106000,0.165340,0.376830,1.661130,236.436950,-361.623810,1741186.625000,
0.108000,0.162780,0.411440,1.979000,236.467580,-361.623810,1741212.000000,
0.110000,0.162780,0.431950,2.061040,236.498250,-361.623810,1741237.250000,
0.112000,0.158940,0.442200,2.009770,236.529010,-361.623810,1741262.625000,1.000000
0.114000,0.157650,0.435790,1.835450,236.559950,-361.623810,1741287.875000,
0.116000,0.156370,0.437070,1.702150,236.591000,-361.623780,1741313.250000,
0.118000,0.155090,0.457580,1.763670,236.622100,-361.623780,1741338.375000,
0.120000,0.155090,0.493470,1.814940,236.653200,-361.623780,1741363.875000,1.000000
0.122000,0.153810,0.524230,1.937990,236.684370,-361.623780,1741389.000000,
0.124000,0.152530,0.546020,1.845700,236.715620,-361.623810,1741414.375000,
