time,+/Nck/!SD/nckServoDataActCurr32 [u1; 1],+/Nck/!SD/nckServoDataActCurr32 [u1; 2],+/Nck/!SD/nckServoDataActCurr32 [u1; 4],+/Nck/!SD/nckServoDataActPos1stEnc32 [u1; 2],+/Nck/!SD/nckServoDataActPos1stEnc32 [u1; 3],+/Nck/!SD/nckServoDataActPos1stEnc32 [u1; 4],+/Channel/!RP/rpa [u1; 15]
0.000000,0.155090,-0.102540,1.927730,235.528110,-342.029630,744637.687500,1.000000
0.002000,0.153810,-0.099980,1.876460,235.528120,-342.029790,744663.000000,
0.004000,0.153810,-0.096130,1.896970,235.528120,-342.029910,744688.312500,
0.006000,0.153810,-0.092290,2.009770,235.528120,-342.030030,744713.562500,
0.008000,0.152530,-0.092290,1.876460,235.528120,-342.030120,744738.875000,1.000000
0.010000,0.152530,-0.088440,2.102050,235.528150,-342.030210,744764.187500,
0.012000,0.149960,-0.085880,1.763670,235.528150,-342.030300,744789.500000,
0.014000,0.149960,-0.083310,1.825200,235.528150,-342.030400,744814.812500,
0.016000,0.146120,-0.080750,1.784180,235.528150,-342.030520,744840.062500,1.000000
0.018000,0.147400,-0.057680,1.968750,235.528150,-342.030640,744865.375000,
0.020000,0.144840,0.315310,1.968750,235.528730,-342.030730,744890.687500,
0.022000,0.142270,0.333250,1.558590,235.530110,-342.030820,744915.937500,
0.024000,0.140990,0.302490,1.845700,235.531570,-342.030880,744941.250000,1.000000
0.026000,0.138430,0.379390,1.681640,235.532900,-342.030910,744966.562500,
0.028000,0.138430,0.489620,2.358400,235.534330,-342.030940,744991.875000,
0.030000,0.135860,0.571660,2.132810,235.536270,-342.031010,745017.125000,
0.032000,0.133300,0.640870,2.061040,235.538880,-342.031070,745042.437500,1.000000
0.034000,0.132020,0.742130,1.722660,235.542140,-342.031130,745067.750000,
0.036000,0.128170,0.875430,1.620120,235.546280,-342.031130,745093.000000,
0.038000,0.129460,1.033080,1.896970,235.551470,-342.031130,745118.312500,
0.040000,0.124330,1.186890,1.732910,235.558110,-342.031130,745143.625000,1.000000
0.042000,0.123050,1.324040,2.030270,235.566380,-342.031160,745168.937500,
0.044000,0.123050,1.450930,1.989260,235.576480,-342.031190,745194.250000,
0.046000,0.120480,1.554750,1.722660,235.588620,-342.031190,745219.562500,
0.048000,0.120480,1.627810,1.568850,235.602840,-342.031250,745244.812500,1.000000
0.050000,0.116640,1.675230,1.456050,235.619230,-342.031280,745270.125000,
0.052000,0.114070,1.712400,1.732910,235.637730,-342.031310,745295.437500,
0.054000,0.112790,1.725220,1.814940,235.658220,-342.031310,745320.687500,
0.056000,0.110230,1.703430,2.307130,235.680690,-342.031340,745346.000000,1.000000
0.058000,0.110230,1.644470,2.132810,235.705000,-342.031370,745371.312500,
0.060000,0.108950,1.557310,1.896970,235.730930,-342.031370,745396.562500,
0.062000,0.110230,1.454770,1.753420,235.758270,-342.031370,745421.875000,
0.064000,0.111510,1.347110,1.691890,235.786800,-342.031370,745447.187500,1.000000
0.066000,0.108950,1.253540,2.112300,235.816220,-342.031370,745472.437500,
0.068000,0.111510,1.168950,2.020020,235.846330,-342.031370,745497.750000,
0.070000,0.110230,1.086910,1.968750,235.876970,-342.031370,745523.062500,
0.072000,0.110230,1.002320,1.804690,235.908000,-342.031370,745548.312500,1.000000
